name,pin,joined,address_postcode,address_county,address_country,profession,field_of_practice_when_joined_register,have_specialist_qualification_approved_by_nmc,specialist_qualification,date_registration_to_nmc,country_of_initial_training,date_of_qualification,country_of_initial_registration,nationality,diversity_gender,diversity_ethnicity,diversity_religion
"Townsend, Victoria",29U0225D,2019-08-06 16:22:52,testpostcode2,Nonexistentland,England,Nurse,Mental health,TRUE,"RN4: Mental health nurse, level 2",testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Other,NA,Jewish
"Franco, Sabrina",72X5850N,2019-02-10 02:23:49,testpostcode1,Nonexistentland,England,Midwife,Adult,TRUE,SPA: Specialist practitioner: Adult nursing,testdate2,Northern Ireland,testdate2,Scotland,Other,Other,NA,Religion not stated
"Werkele, Christiana",20E4687R,2019-09-26 13:28:29,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Mental health,TRUE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Northern Ireland,testdate1,Wales,British,Male,NA,Religion not stated
"Begay, Jeremy",94D0235G,2019-12-14 05:42:29,testpostcode1,Nonexistentland,Wales,Nurse,Adult,TRUE,"RN9: Fever nurse, level 2",testdate2,England,testdate2,Northern Ireland,Other,Male,NA,Other religion
"Nguyen, Ashley",56R4519U,2019-11-01 02:29:35,testpostcode2,N-on-existent,Wales,Nurse,Mental health,TRUE,"RN1: Adult nurse, level 1",testdate1,Scotland,testdate2,England,Other,Other,NA,Muslim
"Zachareas, Nathan",79W8446X,2019-07-08 09:24:04,testpostcode2,N-on-existent,Wales,Nurse & Midwife,Mental health,TRUE,"RN6: Learning disabilities nurse, level 2",testdate2,Outside UK,testdate2,Wales,Other,Male,NA,Christian
"Than, Nikolas",82Q6124C,2019-06-20 08:41:50,testpostcode2,Nonexistentshire,Wales,Nurse,Adult,TRUE,"RN4: Mental health nurse, level 2",testdate2,Wales,testdate1,Scotland,Other,Male,NA,Religion not stated
"Thomas, Genesis",48R3846S,2019-11-25 10:02:43,testpostcode1,N-on-existent,Wales,Nurse,Adult,FALSE,"RNC: Children's nurse, level 1",testdate2,Outside UK,testdate1,England,British,Other,NA,Muslim
"Moore III, Sa'Vannah",28G5303E,2019-09-14 02:05:36,testpostcode2,Nonexistentshire,Wales,Midwife,Mental health,TRUE,V200: Nurse independent prescriber (extended formulary),testdate1,Wales,testdate2,Wales,British,Male,NA,Sikh
"el-Ahmad, Ya'qoob",40E5893V,2019-02-21 04:23:56,testpostcode1,Nonexistentland,Wales,Nurse,Mental health,FALSE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate1,Northern Ireland,testdate2,Scotland,Other,Other,NA,Muslim
"al-Sabir, Faaris",08G7585T,2019-11-07 06:30:02,testpostcode1,Nonexistentshire,Wales,Midwife,Adult,TRUE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,Wales,testdate1,Scotland,British,Female,NA,Sikh
"Fazio, Hannah",81W1413A,2019-06-14 14:16:39,testpostcode2,N-on-existent,England,Nurse & Midwife,Adult,FALSE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Wales,testdate2,Scotland,Other,Other,NA,Hindu
"Allee, Hannah",95Z7883V,2019-01-08 00:35:31,testpostcode2,Nonexistentshire,Northern Ireland,Nurse,Mental health,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,Outside UK,testdate2,Wales,Other,Other,NA,Christian
"Hernandez, Amber",85P8671T,2019-10-19 08:28:52,testpostcode2,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate2,Scotland,testdate1,Northern Ireland,Other,Other,NA,No religion
"Hertz, Matthew",63A4474U,2019-09-18 05:25:36,testpostcode2,N-on-existent,Wales,Nurse,Adult,TRUE,RM: Midwife,testdate1,Outside UK,testdate1,Northern Ireland,Other,Other,NA,Buddhist
"Chang, Justin",46G1254R,2019-09-20 04:59:44,testpostcode2,Nonexistentshire,Wales,Nurse,Mental health,FALSE,V100: Community practitioner nurse prescriber,testdate2,Outside UK,testdate2,England,Other,Female,NA,Christian
"Jenkins, Alexandrea",57Y0219N,2019-10-13 07:59:34,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,FALSE,"RNMH: Mental health nurse, level 1",testdate2,Wales,testdate1,Wales,Other,Male,NA,Other religion
"Cooper, Daniel",49K2518E,2019-07-08 10:17:15,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Adult,FALSE,"RN9: Fever nurse, level 2",testdate1,Northern Ireland,testdate1,Wales,Other,Male,NA,Jewish
"Her, Batamgalan",28E2370P,2019-08-02 03:07:36,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,FALSE,LPE: Lecturer / Practice educator,testdate2,Scotland,testdate2,Scotland,British,Other,NA,No religion
"Loza-Lopez, Justine",74R3308W,2019-05-28 22:28:05,testpostcode1,N-on-existent,Wales,Midwife,Mental health,TRUE,"NAR: Nursing associate",testdate1,Scotland,testdate1,Northern Ireland,British,Other,NA,Other religion
"Pinley, Brandon",48K6819N,2019-10-30 14:06:31,testpostcode1,Nonexistentshire,Scotland,Nurse,Adult,TRUE,SPDN: Specialist practitioner: District nursing,testdate1,Outside UK,testdate2,Scotland,Other,Female,NA,Religion not stated
"Reish, Bryce",49K2518E,2019-11-08 12:21:49,testpostcode1,N-on-existent,Northern Ireland,Midwife,Adult,TRUE,"RN2: Adult nurse, level 2",testdate2,Wales,testdate2,England,British,Male,NA,Hindu
"al-Sawaya, Junaid",77P1735A,2019-02-22 03:04:32,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,TRUE,LPE: Lecturer / Practice educator,testdate1,Outside UK,testdate1,Northern Ireland,British,Female,NA,Buddhist
"el-Naderi, Saajida",92S6198F,2019-02-17 15:53:59,testpostcode1,Nonexistentshire,Northern Ireland,Nurse,Mental health,FALSE,"RN2: Adult nurse, level 2",testdate2,Scotland,testdate2,England,British,Female,NA,Jewish
"Mummert, Joshua",33B5745L,2019-11-21 19:32:43,testpostcode2,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Outside UK,testdate1,Scotland,Other,Other,NA,Other religion
"Pickering, Poulami",15F3384A,2019-05-29 06:54:08,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Mental health,FALSE,"RN4: Mental health nurse, level 2",testdate2,Wales,testdate1,Northern Ireland,British,Other,NA,Sikh
"Davenport, Christian",27B1436N,2019-04-10 01:51:19,testpostcode2,Nonexistentshire,Scotland,Nurse,Adult,FALSE,TCH: Teacher,testdate2,Outside UK,testdate2,Wales,British,Male,NA,Other religion
"Bueno, Arturo",31T6268G,2019-05-03 02:21:16,testpostcode1,N-on-existent,Scotland,Nurse,Mental health,TRUE,LPE: Lecturer / Practice educator,testdate2,Scotland,testdate1,Wales,Other,Male,NA,No religion
"al-Hashim, Raashid",97C8625R,2019-04-13 07:15:26,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,LPE: Lecturer / Practice educator,testdate2,Wales,testdate2,Scotland,British,Female,NA,No religion
"al-Wahab, Huda",03N8455K,2019-08-01 23:46:59,testpostcode1,Nonexistentland,England,Nurse,Adult,TRUE,FHN: Family health nurse,testdate1,Scotland,testdate2,Scotland,British,Other,NA,Sikh
"el-Jan, Zeena",19F6374H,2019-03-08 01:54:13,testpostcode1,Nonexistentshire,Scotland,Midwife,Adult,TRUE,SN: School nurse,testdate1,Wales,testdate2,Scotland,British,Other,NA,No religion
"Johnson, Davontay",50X4288T,2019-04-27 12:55:52,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,FALSE,RSN: School nurse,testdate2,Northern Ireland,testdate2,Scotland,British,Male,NA,Muslim
"Whyte, Mikal",01E1442L,2019-08-17 17:46:19,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,TRUE,RPHN: Specialist community public health nurse,testdate2,Outside UK,testdate1,Wales,Other,Other,NA,Buddhist
"Lieb, Alexander",76J6947M,2019-04-07 05:01:58,testpostcode1,N-on-existent,Scotland,Nurse & Midwife,Adult,TRUE,V200: Nurse independent prescriber (extended formulary),testdate2,Northern Ireland,testdate2,England,British,Male,NA,Muslim
"Pomeroy, Jack",02A9782L,2019-09-25 01:56:47,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,FALSE,"RN8: Children's nurse, level 1",testdate2,Wales,testdate1,Northern Ireland,British,Female,NA,Hindu
"Brock, Dang",77V5814S,2019-01-22 02:13:16,testpostcode1,Nonexistentland,Northern Ireland,Nurse & Midwife,Adult,FALSE,"RNA: Adult nurse, level 1",testdate2,Outside UK,testdate2,England,Other,Male,NA,Religion not stated
"Duran, Andre",15S9040K,2019-04-11 02:47:57,testpostcode1,Nonexistentshire,Scotland,Nurse,Adult,FALSE,V150: Community practitioner nurse prescriber (without SPQ or SCPHN),testdate2,Outside UK,testdate2,England,Other,Male,NA,Hindu
"Jackson, Erik",80Z7750X,2019-07-09 07:55:42,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate1,Scotland,testdate2,Scotland,Other,Female,NA,Sikh
"Zoellner, Rebecca",65S7378Y,2019-04-12 09:27:28,testpostcode1,N-on-existent,Scotland,Nurse,Adult,TRUE,RM: Midwife,testdate1,Scotland,testdate2,Wales,Other,Male,NA,Other religion
"el-Bey, Jadeeda",11N5324L,2019-10-22 13:26:21,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Mental health,FALSE,SPMH: Specialist practitioner: Mental health,testdate2,Northern Ireland,testdate2,Northern Ireland,Other,Female,NA,No religion
"Hamlin, Calvin",57I2253C,2019-08-02 22:03:50,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate2,Outside UK,testdate2,England,Other,Female,NA,Muslim
"Ervin, Courtney",38G9371D,2019-04-06 03:30:35,testpostcode2,Nonexistentshire,Wales,Nurse,Adult,FALSE,SN: School nurse,testdate2,Wales,testdate2,England,Other,Other,NA,Buddhist
"Dizayee, April",37S3522B,2019-05-07 23:21:53,testpostcode2,Nonexistentland,Northern Ireland,Midwife,Mental health,FALSE,RM: Midwife,testdate2,England,testdate1,Scotland,British,Other,NA,Jewish
"Palmer, Marigret",33O0817M,2019-03-28 15:45:57,testpostcode2,Nonexistentshire,Scotland,Nurse,Mental health,FALSE,FHN: Family health nurse,testdate1,Scotland,testdate1,Scotland,British,Other,NA,Muslim
"Banks, Jamariah",48T9586A,2019-07-12 15:23:58,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,FALSE,FHN: Family health nurse,testdate2,Northern Ireland,testdate1,Scotland,Other,Female,NA,Jewish
"Rick, Erik",77W2386F,2019-06-04 19:01:43,testpostcode2,N-on-existent,Scotland,Nurse,Adult,FALSE,FHN: Family health nurse,testdate2,England,testdate1,England,Other,Female,NA,Christian
"Fowler - Schwab, Ryan",45L9208P,2019-01-05 15:25:39,testpostcode1,Nonexistentland,Scotland,Midwife,Mental health,FALSE,RHV: Health visitor,testdate2,England,testdate1,England,British,Other,NA,Jewish
"Brasfield, Paris",31U4909U,2019-08-24 01:53:39,testpostcode1,N-on-existent,England,Nurse & Midwife,Adult,TRUE,"RN1: Adult nurse, level 1",testdate2,Wales,testdate2,England,British,Other,NA,Buddhist
"Paredes, Cristian",89P3834U,2019-04-20 12:14:58,testpostcode1,Nonexistentshire,Scotland,Nurse,Adult,FALSE,V200: Nurse independent prescriber (extended formulary),testdate1,Outside UK,testdate1,Scotland,British,Male,NA,Sikh
"Crawford, Shailah",72J1770X,2019-03-28 02:31:59,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Northern Ireland,testdate2,Scotland,British,Female,NA,Buddhist
"Coley, Derrick",69M9283N,2019-02-16 22:45:50,testpostcode1,N-on-existent,Wales,Nurse,Adult,FALSE,"RNMH: Mental health nurse, level 1",testdate2,Northern Ireland,testdate1,England,British,Female,NA,Jewish
"Mills, Monte Carlo",42W2045K,2019-10-18 07:45:04,testpostcode2,Nonexistentland,England,Nurse & Midwife,Mental health,TRUE,HV: Health visitor,testdate2,Scotland,testdate1,England,British,Female,NA,Hindu
"Harris, Lonnie",16W6886K,2019-12-28 16:05:17,testpostcode2,N-on-existent,Wales,Nurse,Mental health,TRUE,RFHN: Family health nurse,testdate1,Outside UK,testdate2,England,Other,Male,NA,Hindu
"Olvera-Arrendondo, Fernanda",20S8532P,2019-07-18 18:04:59,testpostcode1,Nonexistentshire,Wales,Midwife,Adult,TRUE,SN: School nurse,testdate1,Wales,testdate1,Scotland,British,Other,NA,No religion
"Lasota, Kloe",46J1451A,2019-01-27 08:46:25,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Mental health,FALSE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,England,testdate1,England,British,Male,NA,Buddhist
"Crockett, Dexter",49X7474P,2019-09-19 13:04:15,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,FALSE,SPC: Specialist practitioner: Children's nursing,testdate2,England,testdate2,Wales,British,Male,NA,Buddhist
"Haralson, Parris",93C6489K,2019-09-05 00:26:51,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,TRUE,SCMH: Specialist practitioner: Community mental health nursing,testdate2,Scotland,testdate2,Scotland,British,Female,NA,Other religion
"Lee, Allison",91Y1477B,2019-07-05 13:34:58,testpostcode2,Nonexistentland,England,Midwife,Adult,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Outside UK,testdate1,Scotland,British,Male,NA,Muslim
"Sheets, Zachary",03E0873X,2019-11-20 05:38:27,testpostcode2,N-on-existent,Wales,Nurse,Adult,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate2,Wales,testdate2,Scotland,British,Male,NA,Other religion
"Bohlen, Lizette",66T1387W,2019-04-11 02:47:57,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,FALSE,FHN: Family health nurse,testdate1,Scotland,testdate1,Scotland,Other,Other,NA,Buddhist
"Arapahoe, Ruby",91P7505E,2019-11-10 20:17:54,testpostcode1,Nonexistentshire,Scotland,Nurse,Mental health,FALSE,V100: Community practitioner nurse prescriber,testdate1,Wales,testdate2,Wales,British,Male,NA,Religion not stated
"Girardin, Ethan",75O9638S,2019-12-30 00:16:33,testpostcode1,Nonexistentshire,Wales,Nurse,Adult,FALSE,FHN: Family health nurse,testdate1,England,testdate1,Northern Ireland,British,Other,NA,Sikh
"O'Connor, Matthew",58Q8813B,2019-09-24 11:27:42,testpostcode1,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,FALSE,"RN4: Mental health nurse, level 2",testdate1,Northern Ireland,testdate2,Northern Ireland,Other,Female,NA,Sikh
"Portillo, Miguel",86P5888T,2019-09-25 00:28:46,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Adult,TRUE,OH: Occupational health nurse,testdate2,Wales,testdate1,England,British,Other,NA,Religion not stated
"Fox, Anehely",91U8769L,2019-09-06 06:59:49,testpostcode2,N-on-existent,Northern Ireland,Midwife,Adult,FALSE,HV: Health visitor,testdate1,Northern Ireland,testdate1,England,British,Male,NA,Other religion
"Hamilton, Natasha",23K7173I,2019-11-17 14:00:27,testpostcode2,Nonexistentland,Scotland,Nurse & Midwife,Mental health,FALSE,"RNMH: Mental health nurse, level 1",testdate2,England,testdate2,Northern Ireland,Other,Male,NA,Hindu
"Weston, Lorrie",61Y6963T,2019-04-02 20:16:04,testpostcode1,N-on-existent,England,Nurse,Adult,TRUE,"RN3: Mental health nurse, level 1",testdate2,Wales,testdate1,England,British,Female,NA,Hindu
"Langridge, Dominic",26T5245S,2019-11-20 14:31:22,testpostcode2,Nonexistentshire,Wales,Nurse & Midwife,Adult,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,Outside UK,testdate2,Scotland,British,Female,NA,No religion
"al-Idris, Masood",35L2925P,2019-09-05 06:47:49,testpostcode2,N-on-existent,Scotland,Nurse & Midwife,Adult,FALSE,"RNC: Children's nurse, level 1",testdate2,England,testdate2,Northern Ireland,British,Male,NA,Religion not stated
"Wainwright, Anthony",91R8362V,2019-04-02 03:55:56,testpostcode2,Nonexistentshire,England,Nurse & Midwife,Mental health,TRUE,V300: Nurse independent / supplementary prescriber,testdate2,England,testdate1,Northern Ireland,British,Female,NA,Jewish
"Archuleta, Tashina",12R7150Y,2019-03-12 14:53:34,testpostcode2,Nonexistentland,Scotland,Midwife,Adult,TRUE,FHN: Family health nurse,testdate2,Northern Ireland,testdate1,Scotland,Other,Other,NA,Buddhist
"Risendal, Ciara",97J2281P,2019-02-19 20:25:43,testpostcode2,Nonexistentland,Wales,Nurse,Adult,FALSE,SPCC: Specialist practitioner: Community children’s nursing,testdate2,Northern Ireland,testdate1,England,British,Other,NA,Other religion
"Littlejohn, Ryan",14K7708A,2019-09-10 07:05:13,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Mental health,FALSE,OH: Occupational health nurse,testdate2,Outside UK,testdate2,Northern Ireland,British,Other,NA,Other religion
"Trujillo, Sterling",29Y2244J,2019-05-30 05:15:10,testpostcode1,Nonexistentshire,England,Nurse,Mental health,TRUE,V300: Nurse independent / supplementary prescriber,testdate1,Outside UK,testdate2,Scotland,Other,Other,NA,Other religion
"Sullivan, Jessica",24B7708A,2019-03-07 03:19:35,testpostcode2,Nonexistentshire,Scotland,Nurse & Midwife,Mental health,TRUE,"RNMH: Mental health nurse, level 1",testdate1,Scotland,testdate1,Wales,British,Male,NA,Jewish
"Vang, Victoria",69P2625K,2019-04-21 15:54:35,testpostcode2,N-on-existent,England,Nurse & Midwife,Adult,FALSE,OH: Occupational health nurse,testdate2,Outside UK,testdate2,England,Other,Female,NA,Hindu
"Perry, Alicia",48B3601K,2019-12-11 17:58:34,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Adult,FALSE,"RN7: General nurse, level 2",testdate2,England,testdate2,Northern Ireland,British,Female,NA,No religion
"Sparks, Taylor",67T4112I,2019-05-27 09:40:30,testpostcode2,Nonexistentland,Northern Ireland,Nurse,Adult,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate1,Scotland,testdate1,Northern Ireland,Other,Male,NA,Sikh
"Edwards, Broccan",08A3575G,2019-08-28 14:02:47,testpostcode2,N-on-existent,Scotland,Nurse,Mental health,TRUE,SPCC: Specialist practitioner: Community children’s nursing,testdate1,England,testdate2,Northern Ireland,Other,Other,NA,No religion
"Amphonephong, Caelin",16K9371O,2019-02-06 08:34:48,testpostcode1,N-on-existent,Scotland,Nurse,Adult,TRUE,RPHN: Specialist community public health nurse,testdate2,Scotland,testdate1,Wales,Other,Male,NA,Buddhist
"Walsh, Jamarian",02T8216D,2019-02-27 22:38:57,testpostcode1,N-on-existent,England,Midwife,Adult,FALSE,"RNMH: Mental health nurse, level 1",testdate1,Scotland,testdate1,Northern Ireland,British,Male,NA,No religion
"Gonzalez, Jose",86S4441M,2019-08-21 19:16:44,testpostcode2,Nonexistentland,Northern Ireland,Nurse & Midwife,Mental health,FALSE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,Northern Ireland,testdate1,Northern Ireland,Other,Other,NA,No religion
"Mayhan, Alexandrea",20A4362N,2019-02-21 04:18:49,testpostcode1,N-on-existent,Northern Ireland,Midwife,Mental health,TRUE,"RN1: Adult nurse, level 1",testdate1,Scotland,testdate2,Northern Ireland,Other,Other,NA,Buddhist
"Bratic, Beau",90S5088S,2019-07-15 21:46:40,testpostcode2,N-on-existent,England,Nurse,Mental health,FALSE,V300: Nurse independent / supplementary prescriber,testdate1,Wales,testdate1,Northern Ireland,British,Male,NA,Muslim
"Stallsworth, David",32V2520U,2019-02-12 08:46:35,testpostcode1,N-on-existent,Northern Ireland,Nurse,Adult,TRUE,RFHN: Family health nurse,testdate1,Scotland,testdate2,Wales,British,Female,NA,Other religion
"Rios, Theodore",20T0392P,2019-10-26 14:00:09,testpostcode2,N-on-existent,England,Nurse,Mental health,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate1,Scotland,testdate2,England,British,Other,NA,No religion
"Biggs, Maria",43A7142V,2019-11-21 20:48:38,testpostcode1,N-on-existent,England,Midwife,Mental health,FALSE,RFHN: Family health nurse,testdate1,England,testdate1,England,British,Other,NA,Muslim
"Abrego Paz, Justin",88Q0694E,2019-07-12 13:31:40,testpostcode1,Nonexistentland,Scotland,Nurse,Mental health,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate1,Outside UK,testdate1,England,Other,Male,NA,Buddhist
"Bean, Mark",52P4557H,2019-07-22 18:35:38,testpostcode2,Nonexistentland,England,Midwife,Mental health,FALSE,"RNC: Children's nurse, level 1",testdate2,Wales,testdate1,England,Other,Other,NA,No religion
"al-Idris, Masood",66D0028A,2019-01-21 05:15:33,testpostcode1,Nonexistentland,Scotland,Midwife,Adult,TRUE,"RN4: Mental health nurse, level 2",testdate2,England,testdate2,England,Other,Male,NA,Buddhist
"al-Ghanem, Nawaal",32P4512R,2019-06-22 06:47:56,testpostcode2,N-on-existent,Scotland,Nurse,Adult,FALSE,SPDN: Specialist practitioner: District nursing,testdate2,Northern Ireland,testdate1,Northern Ireland,British,Male,NA,Other religion
"Fuino, Tahma",01I2154X,2019-03-07 02:22:33,testpostcode2,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,"RN9: Fever nurse, level 2",testdate1,Scotland,testdate1,Northern Ireland,Other,Female,NA,Other religion
"Martinez, Sergio",60W1337S,2019-01-09 02:45:57,testpostcode2,Nonexistentshire,Scotland,Midwife,Adult,FALSE,RFHN: Family health nurse,testdate2,Outside UK,testdate1,Scotland,British,Male,NA,Religion not stated
"el-Daoud, Mumina",72V2363E,2019-06-23 23:10:37,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Adult,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate2,England,testdate1,Scotland,Other,Female,NA,No religion
"al-Fadel, Dhaafir",41K7453N,2019-10-30 20:19:24,testpostcode1,N-on-existent,Northern Ireland,Midwife,Mental health,TRUE,SCLD: Specialist practitioner: Community learning disabilities nursing,testdate2,Northern Ireland,testdate1,Northern Ireland,Other,Female,NA,Religion not stated
"Chang, Justin",18Q7709C,2019-05-19 01:45:11,testpostcode1,Nonexistentshire,England,Nurse & Midwife,Mental health,FALSE,SPDN: Specialist practitioner: District nursing,testdate1,Northern Ireland,testdate1,Northern Ireland,Other,Other,NA,Muslim
"Romero, Shay",63J4192R,2019-08-01 06:52:09,testpostcode1,Nonexistentshire,England,Midwife,Adult,FALSE,V200: Nurse independent prescriber (extended formulary),testdate2,Outside UK,testdate2,England,British,Male,NA,Buddhist
"Sapalicio, Daniel",86X6409V,2019-08-09 01:58:53,testpostcode2,N-on-existent,Northern Ireland,Nurse & Midwife,Mental health,FALSE,RSN: School nurse,testdate2,Scotland,testdate1,Northern Ireland,Other,Male,NA,Christian
"Gillies, Mitchell",53P1654M,2019-04-10 00:19:52,testpostcode1,N-on-existent,Wales,Midwife,Adult,FALSE,SPDN: Specialist practitioner: District nursing,testdate1,Outside UK,testdate1,England,Other,Female,NA,Hindu
"Nguyen, Keith",24H2032X,2019-03-06 15:45:01,testpostcode1,N-on-existent,Wales,Nurse,Adult,TRUE,"RN8: Children's nurse, level 1",testdate2,Outside UK,testdate2,Northern Ireland,British,Other,NA,Jewish
"Blackmore, Naomi",41T9002U,2019-10-19 13:10:56,testpostcode1,Nonexistentland,Wales,Nurse & Midwife,Mental health,FALSE,SPGP: Specialist practitioner: General practice nursing,testdate2,Outside UK,testdate1,Wales,British,Other,NA,Hindu
"Starbuck, Jeanna",96D5323O,2019-08-21 11:17:11,testpostcode1,Nonexistentshire,Wales,Nurse & Midwife,Adult,FALSE,RSN: School nurse,testdate2,Wales,testdate1,Scotland,Other,Female,NA,Sikh
"Sandhu, Marvin",92K3720Y,2019-08-05 12:13:48,testpostcode2,Nonexistentland,Scotland,Midwife,Mental health,TRUE,"RNLD: Learning disabilities nurse, level 1",testdate1,England,testdate2,Wales,British,Female,NA,Other religion
"el-Aboud, Jubair",75R7727L,2019-02-25 20:14:45,testpostcode1,Nonexistentland,Scotland,Nurse & Midwife,Mental health,TRUE,"RN8: Children's nurse, level 1",testdate2,Northern Ireland,testdate1,Scotland,Other,Male,NA,Hindu
"el-Madani, Haaniya",68M1467I,2019-11-20 03:42:17,testpostcode2,Nonexistentland,Scotland,Nurse,Adult,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate2,Scotland,testdate1,England,Other,Male,NA,Christian
"Harris, Lonnie",10S5972Y,2019-03-08 19:09:47,testpostcode1,N-on-existent,Northern Ireland,Nurse,Mental health,FALSE,V300: Nurse independent / supplementary prescriber,testdate1,Scotland,testdate2,Scotland,British,Male,NA,Christian
"Gocza, Brandon",60Y2026A,2019-05-02 12:47:00,testpostcode2,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,SPLD: Specialist practitioner: Learning disability nurse,testdate1,Northern Ireland,testdate2,Scotland,Other,Female,NA,Hindu
"Franko, Maesa",42S1375X,2019-10-18 22:36:42,testpostcode2,Nonexistentshire,England,Nurse,Mental health,TRUE,"RN5: Learning disabilities nurse, level 1",testdate2,Outside UK,testdate1,Wales,Other,Male,NA,No religion
"Garcia, Shiloh",63C3258A,2019-08-18 20:32:46,testpostcode2,N-on-existent,Wales,Midwife,Adult,FALSE,FHN: Family health nurse,testdate2,England,testdate2,Wales,Other,Other,NA,No religion
"Zubia, Brennen",14L7602G,2019-07-04 22:05:17,testpostcode2,Nonexistentshire,Wales,Midwife,Adult,TRUE,"RN9: Fever nurse, level 2",testdate2,Wales,testdate2,England,Other,Female,NA,Buddhist
"Mccarty, Chantel",08V9336Y,2019-06-17 10:52:09,testpostcode1,Nonexistentshire,Northern Ireland,Midwife,Mental health,TRUE,SPGP: Specialist practitioner: General practice nursing,testdate2,Northern Ireland,testdate1,Wales,British,Other,NA,Hindu
"al-Noori, Aiman",98O6522X,2019-07-26 01:07:50,testpostcode2,Nonexistentland,Northern Ireland,Nurse,Mental health,FALSE,"RN9: Fever nurse, level 2",testdate1,England,testdate1,Northern Ireland,British,Female,NA,Jewish
"Kimura, Tianna",37N1716P,2019-02-03 13:01:39,testpostcode2,N-on-existent,Northern Ireland,Midwife,Adult,FALSE,"RNC: Children's nurse, level 1",testdate1,England,testdate2,Northern Ireland,British,Male,NA,Religion not stated
"Montelongo-Declay, Daniel",53K6576D,2019-12-30 19:50:48,testpostcode1,Nonexistentshire,Scotland,Nurse & Midwife,Adult,TRUE,V100: Community practitioner nurse prescriber,testdate2,England,testdate1,Wales,British,Other,NA,Religion not stated
"Swanson, Thomas",31P3297H,2019-11-10 20:17:54,testpostcode1,Nonexistentshire,Northern Ireland,Nurse & Midwife,Adult,FALSE,OH: Occupational health nurse,testdate1,England,testdate1,Northern Ireland,Other,Other,NA,Muslim
"Heidrich, Brianna",95Y6053M,2019-06-13 19:19:05,testpostcode2,Nonexistentland,Wales,Midwife,Mental health,FALSE,TCH: Teacher,testdate2,Outside UK,testdate1,Northern Ireland,British,Male,NA,Buddhist
"Ramirez, Savannah",00P0465T,2019-04-15 16:20:45,testpostcode1,Nonexistentland,Northern Ireland,Midwife,Adult,TRUE,TCH: Teacher,testdate1,Scotland,testdate1,England,Other,Other,NA,Muslim
"Ransom, Caleb",08Y3255Y,2019-01-04 19:09:45,testpostcode2,N-on-existent,England,Nurse & Midwife,Mental health,TRUE,"RN6: Learning disabilities nurse, level 2",testdate2,Northern Ireland,testdate2,England,Other,Other,NA,Sikh
