name,pin,joined,reason_for_leaving
"Musick-Occhiuto, Katherine",22I1369T,2019-06-22 19:32:36,NA
"Allen, Natalie",19N0232L,2019-09-28 23:22:58,NA
"Hernandez, Rosa",35S2773V,2019-12-13 05:00:07,NA
"Blackmer, Sammie",82A1045X,2019-07-02 18:33:09,NA
"Hogan, Alexandrea",72C1189M,2019-03-13 18:42:00,NA
"Martinez, Tommiekae",23Y1685M,2019-10-13 03:35:58,NA
"Almazan Pacheco, Vanessa",17M3924C,2019-05-02 12:16:38,NA
"Nawaz, Nicole",70D5482H,2019-11-17 14:44:19,NA
"Powell, Jasmine",49X0378U,2019-03-08 01:58:27,NA
"el-Bari, Aaish",91D5778P,2019-10-08 13:55:21,NA
"Gamez, Darius",57P0951B,2019-10-25 18:52:11,NA
"Renda, Danny",56Y0040C,2019-06-12 05:06:55,NA
"Hopkins, Solomon",02A2063M,2019-03-02 00:38:06,NA
"Harshberger, Alexandra",56W6312M,2019-05-27 05:30:31,NA
"Price, Anthony",39E2750X,2019-05-06 00:13:02,NA
"al-Baccus, Faheem",43N7832U,2019-06-20 05:30:58,NA
"al-Younan, Bishr",21L6488G,2019-01-09 07:30:39,NA
"Mills, Michael",21U0060O,2019-08-23 17:17:36,NA
"al-Abbas, Sahar",46F2582G,2019-10-26 06:57:14,NA
"Goheen, Nicholas",16C5142S,2019-04-13 11:01:52,NA
"Bowser, Tayone",09K4431C,2019-01-30 17:28:46,NA
"Engen, Zachary",39L9509O,2019-10-30 20:29:27,NA
"el-Rizk, Samraa",56A9484B,2019-05-23 08:20:25,NA
"Arciniega-Valdez, Nathan",75R7727L,2019-04-03 11:25:43,NA
"Ohlig, Macy",90S5088S,2019-02-24 02:48:49,NA
"Kalaga, William",81L4361V,2019-09-08 05:54:36,NA
"Reading, David",08G2639B,2019-09-12 10:30:52,NA
"Vandenberghe, Jared",67J0179N,2019-09-04 02:08:37,NA
"el-Hamed, Rushdi",68X2776I,2019-11-08 06:06:55,NA
"Romero, Shay",32Q6681J,2019-10-14 20:42:33,NA
"Lemmons, Sheridan",54P3580R,2019-01-17 04:52:28,NA
"Huynh, Sajesh",00N5711A,2019-09-23 08:51:11,NA
"Zatarain, David",34U6065Z,2019-06-29 18:15:28,NA
"Villa, De'Ron",52Z8489B,2019-07-28 05:43:23,NA
"el-Ibrahim, Azhaar",61D0948K,2019-09-14 13:50:45,NA
"Kasper, Justin",75L2298Y,2019-10-15 15:10:56,NA
"Igo, Gabrielle",11J8431E,2019-02-25 04:57:44,NA
"Arguello, Christopher",09F7661E,2019-01-24 04:32:00,NA
"al-Assad, Samraa",34S4232O,2019-07-22 10:25:58,NA
"Kim, Christine",41I1377D,2019-12-26 19:29:33,NA
"Jumbo, Luis",56A4518R,2019-10-10 21:48:29,NA
"Ward, Janel",93J9819H,2019-11-12 16:17:36,NA
"Holmes, Colten",38F5398Y,2019-02-21 21:23:54,NA
"Romero, Francisco",81F1517X,2019-04-13 22:11:56,NA
"Cook, Quishona",37A6529K,2019-05-02 01:58:11,NA
"Kahn, Christian",11V5522P,2019-02-18 08:22:42,NA
"Dalton, Melinda",59N3360R,2019-09-06 02:10:23,NA
"Proper, Vanessa",17O5069Q,2019-11-02 14:20:35,NA
"Gray, Chelsea",11G3299G,2019-05-17 20:26:06,NA
"Riley, Isaiah",37V3919F,2019-01-18 02:01:39,NA
"Ward, Janel",69F5521N,2019-11-19 20:48:01,NA
"Keelick, Travis",24J2610U,2019-02-02 14:01:44,NA
"Montoya, Zoe",66X0826B,2019-08-16 04:22:22,NA
"Hwang, Nguyet",75Q6465Z,2019-07-10 08:32:57,NA
"Ogaz Fierro, Manuel",39H1852V,2019-04-15 16:20:45,NA
"al-Tabet, Sahheeda",50W9288E,2019-05-08 07:52:32,NA
"Martinez, Oswaldo",16K3942O,2019-10-13 03:35:58,NA
"Costa, Mikkayla",53C3708A,2019-08-23 01:34:58,NA
"Morris, Seline",35N2298S,2019-04-15 16:43:54,NA
"Eurich, Gracie",19D8221O,2019-03-18 01:12:28,NA
"el-Sham, Muslim",45R5615L,2019-10-01 14:27:33,NA
"Suda, Wei Dan",20Q7822H,2019-10-17 11:18:28,NA
"Domingues, Kye",13W3087K,2019-01-06 11:35:27,NA
"el-Shariff, Labeeb",75D5898G,2019-07-26 17:37:43,NA
"Martinez, De'Jane",08L4751B,2019-11-14 06:47:25,NA
"Matthews, Ibashi",32K3487S,2019-07-11 22:38:21,NA
"el-Sader, Fat'hiyaa",53K6368N,2019-10-09 21:08:59,NA
"Arguello, Christopher",44W0139W,2019-05-23 21:06:12,NA
"Castillo, Amairani",94X4094F,2019-07-26 12:22:31,NA
"al-Ben, Ashraf",23L1573F,2019-10-14 06:57:51,NA
"Stephens, Wyatt",40S1903L,2019-07-21 19:33:49,NA
"al-Vaziri, Aabdeen",72H2115U,2019-05-03 01:49:13,NA
"Watkins, Haylie",16I6503D,2019-08-23 01:34:58,NA
"Wilkerson, Samone",75K6867Y,2019-08-23 03:05:16,NA
"Boatner, Anthony",74M5651B,2019-07-29 16:43:49,NA
"Taylor, Sean",30G4425B,2019-03-23 19:17:49,NA
"Ramos-Chavez, Andrew",41L9230B,2019-05-24 13:24:19,NA
"Romero, Louriah",74W2694G,2019-06-04 17:05:24,NA
"Lopez, Chance",89V5092U,2019-04-10 08:26:34,NA
"Clayton, Devonte",11X3895V,2019-11-08 03:38:43,NA
"Sanchez, Francisco",76O1627T,2019-12-19 23:03:44,NA
"Polton, Megan",10Q6308J,2019-04-10 19:43:05,NA
"Henderson, Jesus",72L3089G,2019-12-25 08:39:54,NA
"el-Jabara, Abdul Waahid",77V9801K,2019-12-02 19:34:30,NA
"Chain, Filitaa",09C8105Z,2019-08-04 18:44:47,NA
"Le, Jordan",72G2722L,2019-03-15 11:19:58,NA
"Kirksey, Wyatt",16Q3612K,2019-09-20 10:57:28,NA
"Romero, Paulina",67B0755R,2019-09-15 15:33:48,NA
"Mayhan, Darnisha",72S9041X,2019-03-20 13:14:20,NA
"al-Radi, Hadeel",26F3209W,2019-05-26 14:30:03,NA
"Burnett, Brooklyn",68D4276O,2019-12-11 07:53:57,NA
"Noon, Yihang",22D6889I,2019-03-06 06:11:18,NA
"Scurles, Sierra",25D0447U,2019-10-19 00:40:12,NA
"al-Dia, Shamaail",45Q4693O,2019-05-23 10:02:55,NA
"el-Murad, Qaaid",38X2276B,2019-04-28 21:44:05,NA
"Kunz, Andrew",96V8869L,2019-05-18 04:50:24,NA
"Trice, Alyssa",99K9569W,2019-03-18 20:41:20,NA
"Leleua-Smith, Chu",27R4868P,2019-11-20 13:03:37,NA
"John, Taylor",32M6246T,2019-12-25 16:49:54,NA
"al-Ben, Daif",87R4263F,2019-08-09 16:12:19,NA
"Borntrager, Sharon",59O6098O,2019-07-16 15:47:53,NA
"Dollard, Vanessa",57G5872F,2019-02-19 07:06:04,NA
"Tuuk, Ben",37M4377B,2019-09-16 04:21:19,NA
"Jorgensen, Nicole",70O4375T,2019-11-08 10:09:12,NA
"Roberts, Jeremy",22I3804N,2019-11-09 02:31:20,NA
"Williams, Jayson",83X9382M,2019-10-01 11:21:29,NA
"Shepherd, Kye",25H4469X,2019-09-19 13:04:15,NA
"Wommack, Kawehi",77Z1463H,2019-09-28 14:26:59,NA
"Mcclaskey, Kelly",18F5889K,2019-07-10 11:05:54,NA
"Bolander, Ashly Allis",51P9546R,2019-07-06 00:15:26,NA
"el-Muhammad, Mahuroos",03T3408G,2019-12-19 19:34:44,NA
"Arciniega-Valdez, Nathan",95Y6053M,2019-08-10 22:19:51,NA
"Black, Bethlehem",57P6936H,2019-11-03 01:24:01,NA
"Nirschl, Brianna",61R5518N,2019-06-13 19:19:05,NA
"al-Azzam, Insaaf",82E6895N,2019-04-04 04:29:12,NA
"Smith, Jennifer",10O0197I,2019-04-04 11:43:24,NA
"Ervin, Michelle",70S0387E,2019-02-09 08:02:51,NA
"Stevenson, Fikiri",38O1394Y,2019-08-22 19:45:55,NA
"Majekodunmi, Kiah",37W0180N,2019-08-24 11:18:12,NA
"Reed, Robert",23P8868G,2019-03-20 02:35:28,NA
"Truong, Jessica",17C8464X,2019-03-29 19:21:34,NA
"Martinez, Marissa",57O0798T,2019-04-27 21:06:03,NA
"Harris, Julia",09O8753B,2019-07-08 07:21:50,NA
"Barksdale, John",32P4512R,2019-06-03 11:49:46,NA
"Namlong, Madina",85M2692G,2019-07-01 10:24:44,NA
"Nicolelli, Johnpaul",35W2308M,2019-12-09 02:24:51,NA
"Jones, Brent",92E4233H,2019-10-14 17:30:53,NA
"Podinovskaya, Rachel",32A5466S,2019-11-18 15:03:37,NA
"Xatkoun, Belinda",39Z7830V,2019-03-12 03:30:24,NA
"Ramamurthi, Isabel",57W8779A,2019-03-08 01:19:55,NA
"Johnson, Davontay",77G8588A,2019-06-26 08:24:12,NA
"Brown, Thaine",25M4957A,2019-12-13 00:51:25,NA
"Baca, Emily",72Q1271T,2019-03-02 13:01:06,NA
"Kirven, Anthony",13T3777Y,2019-07-05 00:32:25,NA
"Mcneil, Sharra",75T9005Z,2019-06-11 23:53:28,NA
"Morton, Nicholas",32F0365C,2019-08-03 05:12:27,NA
"Arellano, Delphy",89F7362C,2019-06-29 07:36:17,NA
"Ho, David",19V5392T,2019-12-17 14:05:00,NA
"Paiz, Larry",01Q5870X,2019-04-10 04:43:53,NA
"Sysavoung, May",53K6576D,2019-04-03 05:12:59,NA
"Mcdowell, Ryan",02B8003P,2019-10-06 13:27:39,NA
"Borre, Jason",49A2041K,2019-04-19 20:42:58,NA
"Apodaca, Gabriel",02R1650Q,2019-09-04 00:29:52,NA
"Kaufman, Charell",02X0912A,2019-03-14 05:17:22,NA
"el-Samara, Haibaa",15K9528A,2019-08-24 15:25:08,NA
"Ray, Diselle",54Q5721K,2019-07-08 07:37:36,NA
"Gray, Alexis",08H6744C,2019-02-02 15:31:19,NA
"Miramontes, Daisy",02Q0983E,2019-11-19 23:02:55,NA
"Briones, Cristal",88L6986T,2019-02-01 23:05:13,NA
"Yambao, Pamela",04X2814A,2019-09-28 14:26:59,NA
"Sanchez, Annai",38Y2404Y,2019-04-06 04:50:58,NA
"Lee, Brittany",00D4348C,2019-07-22 16:48:37,NA
"Mckenzie, Archibald",24X3198R,2019-12-16 21:51:47,NA
"Floresescudero, Demika",40B4412S,2019-02-25 09:03:10,NA
"Powers, Sandy",41E2615T,2019-06-19 09:16:16,NA
"Coreau, Joshua",35D8092O,2019-10-30 01:27:47,NA
"Chai, Ella Nikita",73T2481G,2019-11-10 02:35:26,NA
"Wang, Lee",95R8480U,2019-07-10 01:58:50,NA
"al-Hoda, Majdi",95S2685I,2019-06-10 19:57:56,NA
"Reger, April",57T6800F,2019-09-24 01:14:34,NA
"Bedu Annan, Magan",33Q4085J,2019-10-11 21:33:13,NA
"al-Masood, Saajid",78C5569H,2019-04-03 21:34:04,NA
"Nicolelli, Johnpaul",25J6697W,2019-07-29 08:47:02,NA
"Johnson-Dickerson, Emmanuel",05F7561H,2019-11-10 13:21:28,NA
"al-Jamal, Shabeeba",29J2110D,2019-05-14 08:47:30,NA
"Pomeroy, Jack",51T4581G,2019-11-06 19:03:16,NA
"Cole, Anthony",45Z2153R,2019-05-03 02:21:16,NA
"Alcon, Jasmine",05W0118W,2019-05-15 08:49:08,NA
"Cordova, Brandon",77X4487B,2019-04-17 11:12:45,NA
"Miller, Deidra",44Q4381L,2019-01-07 16:32:50,NA
"Ten, Kateri",00A2849L,2019-12-08 16:19:45,NA
"Tran, Tracey",00K3626O,2019-04-15 01:38:42,NA
"Phoenix, Toure",53D8736P,2019-04-22 03:46:11,NA
"Samide, Richard",45X1426B,2019-08-01 15:17:12,NA
"Chandler, Niko",39V6440K,2019-08-27 14:14:15,NA
"Le, Isiah",02Z2033G,2019-09-26 17:49:21,NA
"Lumsden, Robert",14K7708A,2019-08-10 21:35:30,NA
"Aslami, Matthew",54U4317A,2019-03-04 08:57:04,NA
"Chang, Justin",38X4496G,2019-03-02 15:23:55,NA
"al-Farag, Murshid",37E5589K,2019-11-22 05:14:40,NA
"Hare, Caitlin",26D6885B,2019-04-13 22:08:56,NA
"el-Shakir, Arkaan",69A3788N,2019-07-29 23:31:40,NA
"Stone, Reyna",74R2356L,2019-09-14 06:43:56,NA
"Shrednik, Stephanie",19V5130Y,2019-04-24 03:10:11,NA
"Mcdowell, Ryan",92H4052G,2019-01-24 15:55:07,NA
"Medhin, Asia",21N9224Z,2019-08-28 21:23:55,NA
"Cross, Matarai",99T0518L,2019-12-11 21:42:39,NA
"Hicks, Shalea",27N2131X,2019-08-16 14:49:34,NA
"el-Sawaya, Shaheera",08E5391J,2019-11-03 00:50:33,NA
"Falor, Vu",69J8669G,2019-12-03 02:40:18,NA
"Perkins, Kai-Ndamba",22W0271T,2019-11-14 19:46:50,NA
"el-Muhammad, Rasheeqa",30P5290Y,2019-02-01 16:03:55,NA
"Hou Hou, Jonathan",61S2259N,2019-06-25 18:05:40,NA
"Lee, Alex",30K5412L,2019-09-28 03:53:43,NA
"Luiso, Arianel",54O2307G,2019-09-05 13:36:10,NA
"Byrd, Rubi",52H7453M,2019-05-08 07:29:08,NA
"Olguin, Denise",46F2582G,2019-04-16 18:59:52,NA
"Zeigler, Ashley",41V0351B,2019-03-31 19:21:55,NA
"Hassanzadeh Oghan, Connor",60P0772W,2019-05-04 08:41:42,NA
"Crump, Lemich",28S9357N,2019-12-14 11:21:15,NA
"Post, Billy",02L7542H,2019-03-04 13:56:19,NA
"el-Kazemi, Muzna",57R5067W,2019-03-30 17:36:56,NA
"Weber, Aubrey",97T0130T,2019-05-22 14:57:03,NA
"el-Rashed, Waliyya",27K1002E,2019-09-15 16:10:42,NA
"Molina, Karla",21R2456C,2019-12-25 11:36:31,NA
"Canuto, Ignacio",64A4404D,2019-11-25 14:12:13,NA
"Mayhan, Alexandrea",96A7987X,2019-05-24 22:56:03,NA
"Lopez, Jesse",92P7739K,2019-08-17 12:13:35,NA
"Pottorff, Nimesha",55J1053F,2019-11-14 17:39:15,NA
"Baldwin, John",90V0075L,2019-12-19 10:11:40,NA
"Nirschl, Brianna",12B9879C,2019-04-27 19:30:05,NA
"Nirschl, Brianna",99M3002H,2019-04-02 05:16:23,NA
"Medina Rosales, Celso",94T2563L,2019-09-23 03:50:19,NA
"Hutton, Taylor",73F4750N,2019-06-28 00:40:22,NA
"Thunblom Wilson, Mahogany",57O7027X,2019-12-26 20:11:16,NA
"Green, Haley",53D8736P,2019-04-13 07:15:26,NA
"Johnke, Scott",93F5411O,2019-02-21 04:23:56,NA
"Brannigan, Gauge",82T6790F,2019-04-05 15:52:39,NA
"Stoner, Savannah",86H3983R,2019-10-14 22:03:39,NA
"Dorosinskiy, Ross",99Q1150J,2019-11-30 02:09:45,NA
"Woods, Dylan",97B1282L,2019-10-20 20:51:27,NA
"Yambao, Pamela",08J7936F,2019-10-08 22:53:17,NA
"Yoo, Sahza",75T7284N,2019-07-16 03:30:14,NA
"Kim, Joshua",03A1859G,2019-09-28 05:32:17,NA
"Marshall, Chase",58X2456G,2019-09-24 19:46:00,NA
"el-Zakaria, Siraaj",52X0038N,2019-02-11 16:45:49,NA
"el-Arif, Khairi",05W9435E,2019-02-17 03:49:23,NA
"Floyd, Breanna",60O3142I,2019-12-04 06:24:41,NA
"Chang, Quiana",92Q6014V,2019-01-15 04:24:05,NA
"al-Qazi, Nabeeha",72L0602M,2019-04-29 16:14:27,NA
"al-Saade, Munjid",64Z9789X,2019-06-17 23:44:20,NA
"Wolberg, Samantha",18R3067I,2019-10-26 22:18:58,NA
"Sims, Staci",84X3721M,2019-12-27 06:08:11,NA
"Lebeau, Bianca",38N4521W,2019-09-02 10:16:46,NA
"Austria, Robert",66H0620E,2019-05-07 19:40:09,NA
"Mariani, Emily",01D7402A,2019-09-23 21:05:17,NA
"el-Nassif, Shafee'a",86G5086F,2019-05-17 20:47:00,NA
"Dominguez Olivas, Karen",34S8281S,2019-06-22 04:35:51,NA
"el-Abdallah, Hilmiyya",36L9411B,2019-06-22 01:14:04,NA
"el-Bacho, Huda",16K3942O,2019-08-15 20:58:39,NA
"Byers, Arianna",75S6929N,2019-11-23 12:14:42,NA
"Miller, Jayratna",85O6169M,2019-07-01 01:09:37,NA
"Nguyen, Jomar",17L6209T,2019-01-30 15:06:34,NA
"Schlidt, Bailey",99U3656P,2019-11-05 20:02:33,NA
"el-Muhammad, Shaheed",47Y9933Z,2019-06-30 14:47:30,NA
"Lujan, Kyla",96F6670T,2019-04-17 22:33:51,NA
"Pressley, Austin",85H7209I,2019-08-22 13:57:30,NA
"Hammond, Nico",64S5340S,2019-10-30 20:19:24,NA
"Gutierrez, Jubilee",13A2517C,2019-12-08 06:09:52,NA
"el-Zia, Tareefa",16Q4044P,2019-11-01 02:29:35,NA
"Kim, Chloe",54U6286J,2019-02-15 15:12:21,NA
"Hice, Charles",05R2885M,2019-10-04 17:17:33,NA
"Howe, Ella",74P2408T,2019-05-03 01:49:13,NA
"Kennedy, Taylor",59J4249P,2019-10-08 16:45:32,NA
"al-Khalil, Kawkab",18T4124M,2019-09-15 00:37:59,NA
"Sysavoung, May",52P4557H,2019-12-20 14:10:32,NA
"Dennis, Elena",83X9382M,2019-05-11 23:32:28,NA
"el-Hamidi, Farhaan",41R8182D,2019-01-05 02:44:52,NA
"Zoellner, Rebecca",77M6496F,2019-08-19 02:42:40,NA
"Anderson, Deidra",44U3133M,2019-02-27 23:46:45,NA
"el-Pour, Almaasa",40Z6541O,2019-01-09 12:57:57,NA
"el-Nassif, Shafee'a",19G4985D,2019-01-08 04:42:14,NA
"el-Nazir, Abdul Lateef",57F8299J,2019-07-16 10:09:50,NA
"Yannacone, Elise",05K8180A,2019-05-08 11:23:12,NA
"Sypher, Lauren",31V2994L,2019-10-13 07:59:34,NA
"Ulibarri, Vicente",16B5342O,2019-07-09 20:25:54,NA
"Stevens, Delrey",20A1293M,2019-07-16 15:47:53,NA
"Ngo, Yonghyuk",92A9902O,2019-12-08 04:53:29,NA
"Sanchez Aguilera, Schendall",28J6272Y,2019-10-24 22:26:34,NA
"el-Saade, Farajallah",59N4599N,2019-04-17 15:38:14,NA
"O'Connor, Matthew",29T2826U,2019-08-27 09:35:09,NA
"Vigil, Eric",69F0036C,2019-01-24 06:22:27,NA
"Khum, Jennifer",36C3971A,2019-10-08 10:12:27,NA
"Ryckman, Brandon",39E6047B,2019-12-21 09:58:16,NA
"Reza, Lucely",70V0817H,2019-09-04 21:56:46,NA
"Deer, Megan",28S6196X,2019-01-25 04:21:25,NA
"Brown, Odkhuu",85K6805M,2019-01-09 17:37:03,NA
"Mcelhaney, Zachery",40B4412S,2019-10-22 13:26:21,NA
"al-Raad, Rafeeqa",00E1268R,2019-06-27 19:42:00,NA
"Gutierrez, Davion",75K2245K,2019-07-21 09:21:30,NA
"Hasbrouck, Jessica",03K9420K,2019-02-16 06:17:53,NA
"Adams, Brandyn",75R7727L,2019-03-17 00:18:55,NA
"Martinez, Jordan",18Q7709C,2019-04-25 08:34:49,NA
"Embry, Savannah",39Y6418P,2019-03-23 19:17:49,NA
"Smith, Joshua",34U1635J,2019-11-10 13:21:28,NA
"Alferos, Joanne",94B8713X,2019-06-02 15:25:34,NA
"Jones, Laura",88T3381R,2019-12-29 12:23:56,NA
"Gates, Francesco",44S8692X,2019-09-19 02:02:32,NA
"Chai, Ella Nikita",19Q9641V,2019-11-19 17:47:04,NA
"Grajeda Gutierrez, Shayleigh",51D6700Y,2019-07-14 15:36:18,NA
"Corning, Jie",29Y2244J,2019-11-18 03:15:32,NA
"Adams, Aura",90Q0804V,2019-06-15 02:54:37,NA
"Adan, Tekia",45H3124T,2019-10-25 18:52:11,NA
"Sanchez, Francisco",45Q4693O,2019-01-23 12:07:04,NA
"Sharza, Karen",02S7659N,2019-12-26 21:26:26,NA
"el-Khalifa, Umar",16V2839X,2019-02-03 02:43:27,NA
"Mcclaskey, Blake",19F6374H,2019-05-05 21:01:26,NA
"Broomand, Katherine",65V9635H,2019-05-05 18:56:38,NA
"Pinto, Deion",25S1922G,2019-06-26 05:55:05,NA
"Agbenyo, Malei'Ka",05E9709A,2019-08-09 12:56:20,NA
"Futch, Aaron",31O3526P,2019-09-14 21:43:53,NA
"Danskin, Charlotte",86X2347C,2019-09-22 12:57:10,NA
"Rodelas Chavira, Angelo",27A0682S,2019-02-26 13:23:49,NA
"Ruiz, Joseph",54Y0915B,2019-07-19 11:45:29,NA
"el-Masih, Muthanna",99G0598D,2019-12-20 14:10:32,NA
"Garcia, Gage",49V6716E,2019-07-22 04:19:24,NA
"Hyden-Terry, Davianna",30D0622I,2019-09-16 13:01:20,NA
"Coutee, Shelbey",77Q5491T,2019-06-26 21:53:48,NA
"Peck, Leandra",20X9237P,2019-07-01 10:24:44,NA
"Warren, Mariah",42P8796F,2019-10-28 20:53:16,NA
"Flores Diaz, David",05Z6449T,2019-08-15 04:06:31,NA
"Bueno, Arturo",63F5625S,2019-12-30 19:43:22,NA
"al-Parsa, Haajid",82T6790F,2019-03-21 13:30:43,NA
"Brinkmann, Mariah",89Y1491Z,2019-08-31 10:25:04,NA
"Brinkmann, Mariah",38Y2404Y,2019-06-13 22:56:44,NA
"Mcdowell, Ryan",09M8181D,2019-07-16 15:47:53,NA
"Lo, Ribbon",57M6035L,2019-01-11 00:13:04,NA
"Lu, Shwetha",69B2152J,2019-05-29 02:28:19,NA
"Waterman, Danielle",76Y0949P,2019-04-02 07:36:05,NA
"Lechuga-Medina, Jorge",68V8583S,2019-04-20 13:53:36,NA
"Kaur, Vinh",92Q6703D,2019-08-05 12:13:48,NA
"Crowghost, Addison",84Z0924A,2019-11-30 17:39:26,NA
"Gonzalez, Eduardo",80F3833A,2019-05-09 05:22:53,NA
"el-Demian, Waajida",24H6426S,2019-07-10 14:54:54,NA
"Ju, Charell",67X9345E,2019-02-07 19:49:10,NA
"Bean, Mark",47Y4450I,2019-03-11 07:53:48,NA
"Anderson, Lee Anna",88X1725O,2019-07-15 16:37:00,NA
"Hernandez, Adrian",87G9770A,2019-03-05 12:36:04,NA
"al-Masood, Saajid",28B8846D,2019-10-05 17:38:32,NA
"Nguyen, Kea",67A4785K,2019-06-22 05:22:14,NA
"Somers, Christian",11B4899D,2019-11-17 11:48:33,NA
"Bye, Nicholes",16C7922V,2019-11-03 18:03:02,NA
"Hamlin, Justin",95A0952F,2019-10-22 23:31:36,NA
"Elder, Jacob",15E5655Y,2019-12-21 10:57:06,NA
"Seyffer, Mary",04P1882K,2019-03-19 13:18:24,NA
"Carr, Kelsee",55V2479I,2019-12-06 06:10:34,NA
"Jumbo, Luis",62B7729J,2019-05-09 05:22:53,NA
"Martinez, Marissa",81O4363R,2019-05-09 11:27:24,NA
"Fenton, Seth",43R4171N,2019-03-07 03:07:49,NA
"Rivera, Jessica",31I1293N,2019-03-06 11:30:23,NA
"Manivong, Bailey",71A8975M,2019-10-12 07:13:23,NA
"Holeso, Xiao",13W5982C,2019-07-05 13:10:11,NA
"Lee, Lan",79B5136J,2019-11-21 02:00:01,NA
"Tran, Samuel",76G1729R,2019-10-07 09:10:43,NA
"Dodson, Michael",70O4375T,2019-08-26 10:42:52,NA
"al-Mohammed, Aatif",72O9792N,2019-12-12 21:18:23,NA
"Sorrell, Jacob",04X2814A,2019-07-15 11:58:17,NA
"Coonce, Kyle",72G4584C,2019-02-09 07:39:40,NA
"Yang, Kyle",38C7887P,2019-07-08 10:17:15,NA
"Honore, Robert",26B0124G,2019-06-29 00:10:15,NA
"Wang, Jason",78O0557Y,2019-01-04 13:33:25,NA
"Hand, Kylina",38D1388L,2019-12-11 19:43:12,NA
"Barker, David",53S3455G,2019-05-06 08:02:16,NA
"Blanco, Devan",12H3279G,2019-07-24 14:45:49,NA
"Cave, Jordan",15T5212S,2019-04-04 05:32:45,NA
"Lockyer, Rito",53Z5157I,2019-08-10 21:39:16,NA
"Justman, Mele",00R3221D,2019-02-26 15:18:26,NA
"al-Kamel, Taahir",30D0958W,2019-05-25 22:30:07,NA
"Moye, Devon",57J6739D,2019-02-08 03:09:28,NA
"el-Majid, Saalim",59J4272D,2019-09-22 00:34:06,NA
"Borum, Marcus",34E0444V,2019-01-01 13:18:46,NA
"el-Amin, Manaal",08S8699U,2019-01-14 06:55:04,NA
"Hall, Jesse",64Y5911T,2019-12-26 13:55:09,NA
"el-Baccus, Aanisa",32K0992P,2019-06-03 03:53:31,NA
"Powell, Zacory",42C7006A,2019-09-16 06:36:03,NA
"Kor, Houa",02S8963G,2019-11-24 01:49:58,NA
"Hull, Deangelo",36Y7506L,2019-01-05 10:31:35,NA
"Drayton, Quiana",03Z1048W,2019-06-28 20:43:33,NA
"Wallace, Michael",50W7399J,2019-12-29 01:22:50,NA
"Bayles, Nathanial",45I9238P,2019-10-27 13:38:25,NA
"Edmond, Bobby",96E3716D,2019-02-24 16:08:45,NA
"Holiday, Amanda",70C6987R,2019-02-09 20:49:08,NA
"Rodriguez, Brandi",18B7674H,2019-10-14 21:28:26,NA
"Pope, Beatrice",76H1480Z,2019-07-13 05:02:34,NA
"Toraya-Sosa, Jessica",34S8281S,2019-07-04 10:41:01,NA
"Smith, Don Shae",59D7303A,2019-01-19 00:12:48,NA
"Hutchinson, Cassandra",84P5726O,2019-08-27 01:28:52,NA
"al-Abdalla, Taiseer",58C7158X,2019-08-13 13:54:41,NA
"Schleining, Michael",44V5021S,2019-06-01 10:34:09,NA
"Ornelas Romero, Oscar",87J4667V,2019-11-20 03:07:50,NA
"el-Akbar, Raafida",98E9907J,2019-04-20 01:53:30,NA
"Stevens, Delrey",36X6468Y,2019-04-23 09:14:48,NA
"Velasquez, Tyriek",03Q6926U,2019-08-20 12:55:25,NA
"el-Sawaya, Haashim",84V4630O,2019-03-03 10:59:05,NA
"Jackson, D'Andre",28B6896R,2019-06-23 23:25:51,NA
"el-Baccus, Burhaan",03Z1048W,2019-09-20 00:47:03,NA
"Samples, Mekinzi",33R4478F,2019-01-27 22:21:44,NA
"Garza, Olivia",82R9228R,2019-06-28 22:01:28,NA
"Eloriaga, Grace",11R0228L,2019-09-15 00:17:47,NA
"el-Othman, Shaamila",90E5291K,2019-09-04 01:14:08,NA
"White, Kendall",19W0604L,2019-02-24 01:00:24,NA
"el-Rais, Faraj",32K1329N,2019-01-20 21:42:30,NA
"Garcia, Amira",88N6855Q,2019-05-31 09:42:04,NA
"Chester, Dustin",30Q7244W,2019-07-17 18:43:27,NA
"al-Nasser, Zulfa",53D7965W,2019-08-05 00:53:05,NA
"Lopez, Erick",73C7785T,2019-11-26 03:20:53,NA
"Preston, Makida",54O9743X,2019-06-30 04:29:12,NA
"Sorrell, Adina",91T4584X,2019-07-12 07:01:51,NA
"el-Demian, Waajida",18O1867W,2019-03-01 11:59:08,NA
"Phan, Parker",74R2356L,2019-05-27 11:12:28,NA
"Chen, Lewis",16I2939K,2019-07-30 20:27:00,NA
"Johnson, Equasia",13E5957X,2019-08-28 14:02:47,NA
"el-Bashir, Sadoon",25M3548U,2019-08-31 05:23:32,NA
"Gillies, Mitchell",06G9922L,2019-08-06 22:28:06,NA
"Broomand, Katherine",90C3839R,2019-10-20 17:47:54,NA
"Nightwalker, Luanne",15H1876T,2019-12-20 14:54:34,NA
"Charley, Shawn",30B8303T,2019-09-23 18:40:36,NA
"Phoenix, Toure",22C3711J,2019-10-12 19:57:12,NA
"Leija, Rebeca",92Z4255S,2019-03-09 09:27:15,NA
"Galligan, Sydney",00I4435V,2019-10-27 01:02:49,NA
"Chaca, Candace",76H6619F,2019-08-07 18:18:20,NA
"al-Azer, Taqi",92F4464R,2019-04-28 20:53:10,NA
"Lappens, Leighton",02Y8648B,2019-10-30 18:53:48,NA
