name,pin,joined,are_they_currently_practising,curently_practising,wish_to_lapse_registration,wish_to_lapse_reason,wish_to_partially_lapse_which_part,which_revalidation_requirement_not_met,exceptional_circumstances_requested,exceptional_circumstances_awarded
"Avila, Bryan",66T1387W,2019-12-05 06:48:03,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Nurse,Written reflective accounts,FALSE,TRUE
"Piedrasanta, Luz",48O7039Z,2019-08-12 22:44:42,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,FALSE
"Ameyaw, Decia",01D7402A,2019-07-22 07:30:02,TRUE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,TRUE
"Agbenyo, Malei'Ka",68M0515C,2019-02-12 02:33:52,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Medina Rosales, Celso",44K7315N,2019-05-24 03:26:33,FALSE,Midwife outside the UK,Yes,Ill health,Nurse,Health and character declaration,TRUE,FALSE
"Valenzuela, Joel",38B8785O,2019-02-16 05:50:07,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,TRUE
"Adams, Synquiss",58V8821D,2019-08-24 11:18:12,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Ill health,Midwife,Reflective discussion,TRUE,TRUE
"Pham, Ross",57B1096N,2019-10-30 19:25:19,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Galligan, Sydney",02T0706F,2019-09-09 21:11:45,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Marmolejo, Joseph",13T3777Y,2019-05-27 22:25:01,FALSE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Practice hours,FALSE,TRUE
"Johnson, Eric",56N6911O,2019-11-23 09:21:15,TRUE,Midwife outside the UK,Yes,Ill health,Midwife,Confirmation,FALSE,TRUE
"Albright, Morgan",28E1867K,2019-03-09 21:56:55,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,TRUE
"Narayanswamy, Isabelle",66P4482S,2019-06-19 05:35:01,FALSE,Nurse inside the UK,No,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Lao, Shaina",69B2152J,2019-09-07 06:22:40,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,Practice hours,FALSE,FALSE
"Douglas, Edward",96C1698S,2019-06-05 11:40:48,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,Confirmation,FALSE,TRUE
"Sanchez, Jasmine",81U0934M,2019-03-24 12:26:13,FALSE,Nurse outside the UK,No,Retirement,Midwife,Written reflective accounts,TRUE,TRUE
"Wright, Kyle",14W5558N,2019-04-05 19:17:17,FALSE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,FALSE
"Michaelis, Rachel",14B7737U,2019-05-17 11:43:57,TRUE,Nurse outside the UK,Partial lapse,Retirement,Nurse,Health and character declaration,FALSE,TRUE
"Vanauken, Michael",43N7832U,2019-03-09 08:52:16,FALSE,Nurse outside the UK,No,Retirement,Midwife,Reflective discussion,TRUE,FALSE
"Archuleta, Jose",52O0066U,2019-07-08 00:29:06,TRUE,Midwife outside the UK,Yes,Deceased,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Mills, Monte Carlo",83E9293V,2019-02-27 03:19:08,FALSE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Vizzini, Saprea",92J0071D,2019-02-19 20:25:43,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Midwife,Written reflective accounts,FALSE,FALSE
"Snider, Jeremy",91K5451K,2019-09-29 08:53:22,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Confirmation,FALSE,TRUE
"el-Baccus, Aanisa",02P2104X,2019-03-07 18:36:56,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Confirmation,TRUE,FALSE
"Martinez, Piper",20W5742G,2019-11-04 17:55:08,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Health and character declaration,TRUE,FALSE
"Larson, Elly",65P0805P,2019-01-29 17:44:08,FALSE,Nurse inside the UK,Partial lapse,Deceased,Nurse,Reflective discussion,TRUE,TRUE
"Butcher, Shirelle",03A8992S,2019-10-13 18:39:21,FALSE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Irick, David",04C8235I,2019-05-26 19:20:02,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Pena, Dominick",31K2219F,2019-08-09 13:24:09,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Hoffman, Robert",97O8247E,2019-05-14 21:49:56,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,CPD,TRUE,FALSE
"el-Momin, Wadee'a",00N9805C,2019-01-09 17:37:03,TRUE,Nurse inside the UK,No,Retirement,Nurse,Practice hours,TRUE,FALSE
"Molinar, Tanisha",09Q3722G,2019-05-28 05:08:52,TRUE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,TRUE,TRUE
"al-Sultan, Hasana",28W8637G,2019-08-18 00:46:50,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,FALSE
"Le, Tommy",08E6710E,2019-07-05 10:41:07,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Confirmation,FALSE,TRUE
"Fincher, Ceiara",50M2251Y,2019-07-10 19:28:43,TRUE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,FALSE
"el-Rais, Fuaada",16S8079X,2019-08-16 08:20:39,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,FALSE
"Kor, Houa",51W6325V,2019-04-06 00:14:07,TRUE,Nurse outside the UK,No,Deceased,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Dowse, Alexia",08M9317E,2019-08-15 12:41:11,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,Confirmation,TRUE,TRUE
"Williams, Jayson",61D0948K,2019-01-16 20:30:07,TRUE,Nurse outside the UK,No,Ill health,Midwife,Practice hours,FALSE,FALSE
"Sodbinow, Hugh",18J9950D,2019-11-06 09:17:16,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,FALSE
"al-Shaheed, Saaliha",78C5569H,2019-08-25 07:25:40,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Nurse,CPD,FALSE,TRUE
"Tom, Nizhoni",72X5850N,2019-10-16 21:50:48,FALSE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,FALSE
"Sedillo, Bowen",64F8934F,2019-12-08 17:32:13,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,TRUE
"Brady, Angelica",32M8053H,2019-03-15 14:59:53,TRUE,Nurse outside the UK,No,Deceased,Midwife,Confirmation,FALSE,TRUE
"Mohr, Andrew",68A7972G,2019-04-03 13:46:29,TRUE,Midwife outside the UK,Yes,Ill health,Nurse,Practice-related feedback,TRUE,TRUE
"el-Yousuf, Mudrik",11Y6879S,2019-06-17 05:00:55,FALSE,Nurse inside the UK,Yes,Deceased,Nurse,Health and character declaration,TRUE,TRUE
"Hopper, Calandra",25P3388O,2019-11-04 17:47:07,TRUE,Nurse inside the UK,No,Deceased,Midwife,Practice hours,TRUE,TRUE
"Bowens, Jaquaya",70L2066G,2019-06-06 10:27:47,TRUE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Karr, Blake",29Q3395O,2019-06-11 16:25:25,TRUE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Reflective discussion,TRUE,TRUE
"Herrera, Ashley",22A8067Q,2019-06-05 16:34:18,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Reflective discussion,FALSE,FALSE
"Leitmayr, Mackenzie",41G3530Q,2019-05-01 23:33:52,FALSE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Nurse,Reflective discussion,TRUE,FALSE
"Le, Adam",55G0982D,2019-01-02 12:25:25,TRUE,Nurse inside the UK,Yes,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,TRUE
"el-Sultana, Usaama",24O7060J,2019-03-29 00:30:50,FALSE,Nurse outside the UK,Partial lapse,Deceased,Midwife,CPD,TRUE,FALSE
"al-Mohamad, Mus'ab",53C0492L,2019-12-11 07:53:57,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Health and character declaration,FALSE,FALSE
"Singer, Chandler",18R3067I,2019-10-30 20:19:24,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Retirement,Nurse,Health and character declaration,FALSE,TRUE
"Fisher, Nicolette",63K7334I,2019-04-10 01:27:37,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Wilson, Emily",11V1704F,2019-07-04 06:46:37,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,FALSE,TRUE
"Dudley, Lee",46U2312W,2019-01-18 08:35:52,TRUE,Midwife outside the UK,No,Retirement,Nurse,Reflective discussion,TRUE,FALSE
"el-Abid, Hanlala",57Y2972O,2019-08-31 15:56:27,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Midwife,CPD,FALSE,TRUE
"Manley, Johnathen",02G5726M,2019-01-13 07:11:39,TRUE,Midwife outside the UK,No,Retirement,Nurse,Practice hours,FALSE,TRUE
"Golden, Quanisha",26W0620V,2019-01-18 16:12:15,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Midwife,Written reflective accounts,TRUE,FALSE
"Ha, Andrew",68Z1014K,2019-10-19 04:12:08,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,FALSE
"Taylor, Nevin",44S8692X,2019-06-01 10:34:09,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,CPD,FALSE,FALSE
"Brink, Dominick",02S7719K,2019-01-20 17:31:48,FALSE,Nurse outside the UK,Partial lapse,Retirement,Midwife,Health and character declaration,TRUE,FALSE
"Modglin, Jacob",41J8870V,2019-07-18 21:27:33,FALSE,Nurse outside the UK,Partial lapse,Retirement,Nurse,CPD,FALSE,FALSE
"Mares, Shelby",72J3925Y,2019-11-05 15:54:37,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,CPD,FALSE,TRUE
"Schuckman, Toby",67E1257J,2019-09-29 18:26:19,TRUE,Midwife in UK & have submitted intention to practise form,No,Currently not practising / opted not to practise,Midwife,Written reflective accounts,FALSE,FALSE
"Watkins, Haylie",17O5069Q,2019-03-03 19:01:59,FALSE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Archuleta, Holly",06B9155O,2019-08-28 22:24:10,TRUE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Reflective discussion,TRUE,FALSE
"Phoenix, Toure",68X2776I,2019-09-26 14:38:57,FALSE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Practice-related feedback,TRUE,TRUE
"Guedeney, Carly",53W2973E,2019-08-13 22:01:42,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Written reflective accounts,FALSE,FALSE
"Munoz Beltran, Sasha",74V8062J,2019-04-30 12:24:08,FALSE,Nurse inside the UK,No,Ill health,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Paik, Steve",43Z9135W,2019-02-12 17:28:57,TRUE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Goetsch, Mohammad",33J4168G,2019-02-20 09:18:14,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"el-Matar, Haamid",50A7796N,2019-11-04 19:19:22,TRUE,Nurse outside the UK,No,Ill health,Nurse,Practice hours,TRUE,FALSE
"Trinh, Minkyung",92J1401J,2019-07-26 01:58:38,TRUE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Written reflective accounts,FALSE,TRUE
"Bergen, Justin",66H0620E,2019-12-10 16:03:00,TRUE,Nurse inside the UK,Yes,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"al-Moustafa, Aseel",55Q7797F,2019-05-29 02:22:16,FALSE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Practice-related feedback,FALSE,FALSE
"Foster, Anika",33D9105Z,2019-09-11 21:21:45,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Practice hours,TRUE,TRUE
"el-Sadiq, Daif",21J0517Y,2019-05-02 08:53:28,TRUE,Nurse outside the UK,No,Retirement,Nurse,Confirmation,TRUE,TRUE
"el-Momin, Wadee'a",80L5123H,2019-06-12 14:28:13,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Practice hours,FALSE,TRUE
"al-Mahmud, Umaima",33S3446K,2019-10-27 12:33:14,TRUE,Nurse outside the UK,Yes,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"Perry, James",30I4767D,2019-11-16 02:58:12,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Midwife,CPD,FALSE,FALSE
"Oh, Ronald",14E9488H,2019-01-10 11:23:16,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,FALSE,TRUE
"Harmon, Karalyssa",61Y6963T,2019-08-16 08:20:39,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,TRUE,TRUE
"Waldo, Han Mi",42L8985O,2019-07-26 18:00:14,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Alvarez, Martin",69V8950G,2019-01-28 21:16:04,TRUE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,Reflective discussion,TRUE,TRUE
"Hassanzadeh Oghan, Connor",48O9968B,2019-07-30 20:30:58,TRUE,Nurse outside the UK,Yes,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Choe, Tien",99X4775Y,2019-03-15 01:12:16,FALSE,Nurse outside the UK,No,Deceased,Nurse,CPD,TRUE,TRUE
"Son, Yonghyuk",11Y6879S,2019-07-06 16:06:39,FALSE,Midwife outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,FALSE
"Marin Huerta, Anthony",32Q6681J,2019-04-04 03:01:48,TRUE,Midwife outside the UK,No,Does not meet the revalidation requirements,Nurse,Practice hours,FALSE,TRUE
"Ebat, Steven",05S9346L,2019-12-26 21:32:53,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Ill health,Nurse,Confirmation,TRUE,FALSE
"Lummis, Ji",33B8962V,2019-08-14 14:20:29,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Written reflective accounts,FALSE,TRUE
"Nguyen, Kimberly",95V4923W,2019-08-20 00:01:38,TRUE,Nurse outside the UK,Partial lapse,Ill health,Nurse,Health and character declaration,TRUE,FALSE
"Ditter, Amra",06Y5095K,2019-10-17 11:18:28,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Midwife,Practice-related feedback,TRUE,TRUE
"Miller, Marisa",70A3183O,2019-12-19 21:24:58,FALSE,Nurse outside the UK,No,Retirement,Midwife,Written reflective accounts,FALSE,TRUE
"Sanchez, Maricela",46G2753Q,2019-03-30 04:50:11,TRUE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Archuleta, Cyron",04R0900Q,2019-11-14 02:22:52,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,FALSE,TRUE
"Valdo, Anfernee",55X3704I,2019-10-13 02:59:22,FALSE,Midwife outside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,FALSE,FALSE
"Dagdagan, Anthony",55Q0608S,2019-07-22 05:34:47,TRUE,Nurse outside the UK,No,Deceased,Nurse,CPD,TRUE,FALSE
"Marlow, Kate",17W0117S,2019-10-30 19:48:02,FALSE,Nurse inside the UK,Partial lapse,Retirement,Nurse,CPD,FALSE,FALSE
"Lopez, Israel",44F6936D,2019-04-17 02:04:19,TRUE,Midwife outside the UK,No,Ill health,Midwife,Reflective discussion,TRUE,FALSE
"Escarcega Nunez, Devyn",13S0810X,2019-08-21 11:24:24,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Urban, Alexander",02A2063M,2019-09-06 15:14:47,FALSE,Nurse inside the UK,Partial lapse,Currently not practising / opted not to practise,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"Hiromasa, Courtney",79R8803R,2019-07-15 01:16:48,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Practice hours,FALSE,FALSE
"Bergen, Abhisaar",69Y9806Q,2019-08-18 07:43:21,TRUE,Nurse outside the UK,No,Ill health,Midwife,Confirmation,TRUE,TRUE
"De Santiago Garcia, Samuel",51K5278M,2019-10-08 08:16:30,FALSE,Nurse outside the UK,Partial lapse,Deceased,Nurse,Professional indemnity arrangement declaration,FALSE,FALSE
"Stufflebean, Hayden",16I4910M,2019-03-28 20:40:07,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Currently not practising / opted not to practise,Midwife,CPD,TRUE,TRUE
"al-Kazemi, Ruwaid",91C6924S,2019-11-24 21:42:48,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"Jefferson, Mercedes",72S9041X,2019-07-12 19:28:05,FALSE,Nurse inside the UK,Yes,Retirement,Midwife,CPD,TRUE,FALSE
"Bradshaw, Xavier",32E5395D,2019-02-28 16:57:51,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,Health and character declaration,FALSE,TRUE
"Jackson, Jordan",53V3578K,2019-09-13 10:52:11,TRUE,Midwife outside the UK,Partial lapse,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Kieszkowski, Emma",52F1478Q,2019-10-27 22:45:10,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Practice hours,TRUE,TRUE
"Sorace, Kirstie",52Z8489B,2019-01-07 16:32:50,TRUE,Nurse inside the UK,Yes,Deceased,Nurse,Confirmation,FALSE,FALSE
"Bruner, Samantha",05L1134L,2019-04-11 11:50:42,FALSE,Midwife in UK & have submitted intention to practise form,Yes,Currently not practising / opted not to practise,Midwife,Confirmation,TRUE,FALSE
"Lee, Madina",75D5898G,2019-03-24 07:50:41,TRUE,Midwife in UK & have submitted intention to practise form,Partial lapse,Deceased,Nurse,Reflective discussion,FALSE,FALSE
"Jackson, Connor",54L3384T,2019-09-06 17:24:50,FALSE,Nurse inside the UK,No,Ill health,Nurse,Health and character declaration,FALSE,FALSE
"Simoneau, Jordan",29P6413J,2019-02-09 08:02:51,TRUE,Midwife outside the UK,No,Ill health,Midwife,Reflective discussion,FALSE,TRUE
"Garcia Trevizo, Perla",07F0880E,2019-12-26 21:32:53,TRUE,Nurse outside the UK,Yes,Currently not practising / opted not to practise,Nurse,Reflective discussion,FALSE,TRUE
"al-Hossain, Awf",47D0689Y,2019-06-21 10:09:05,FALSE,Nurse inside the UK,Partial lapse,Retirement,Midwife,Practice hours,TRUE,FALSE
"Thompson, Cody",12W8334Z,2019-12-29 02:43:33,TRUE,Nurse outside the UK,No,Currently not practising / opted not to practise,Nurse,Practice hours,FALSE,FALSE
"Barksdale, John",92S6198F,2019-10-11 02:34:15,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,CPD,FALSE,TRUE
"Martin, Kanisha",99Y0444M,2019-05-21 11:53:46,FALSE,Midwife outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Professional indemnity arrangement declaration,TRUE,FALSE
"Feldmann, Rebecca",54U4317A,2019-01-19 01:51:31,TRUE,Nurse inside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,CPD,TRUE,TRUE
"Selden, Richard",34O6868T,2019-07-11 05:41:11,FALSE,Nurse inside the UK,No,Deceased,Midwife,Professional indemnity arrangement declaration,FALSE,FALSE
"el-Karam, Shabaan",88N6855Q,2019-08-02 04:54:01,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,CPD,TRUE,TRUE
"Smith, Nathaniel",38T0847J,2019-04-06 02:40:51,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Deceased,Nurse,Health and character declaration,FALSE,TRUE
"Roper, Cheyenne",46P7575Z,2019-11-10 13:06:47,FALSE,Midwife outside the UK,Yes,Deceased,Nurse,Professional indemnity arrangement declaration,FALSE,TRUE
"Phillips, Kyle",90C7957W,2019-03-09 01:01:55,FALSE,Midwife outside the UK,No,Retirement,Midwife,Written reflective accounts,FALSE,TRUE
"Navajo, Emilio",35N2298S,2019-06-06 04:10:46,FALSE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Reflective discussion,FALSE,TRUE
"Savoy, Payton",96C0195I,2019-09-30 08:23:02,FALSE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Rocha, Schuyler",62Y2779I,2019-08-20 13:31:27,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,TRUE
"Bolyard, Jeffrey",14A3708D,2019-11-12 09:38:30,TRUE,Nurse outside the UK,Partial lapse,Ill health,Midwife,Health and character declaration,FALSE,FALSE
"al-Diab, Afaaf",78A4622K,2019-02-14 13:57:14,TRUE,Midwife in UK & have submitted intention to practise form,No,Retirement,Midwife,Practice hours,FALSE,TRUE
"Jacket, Brackin",87K6277H,2019-01-13 20:08:06,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Confirmation,TRUE,TRUE
"el-Odeh, Abdul Hakeem",16C6485V,2019-10-05 17:38:32,FALSE,Midwife in UK & have submitted intention to practise form,Partial lapse,Does not meet the revalidation requirements,Nurse,Professional indemnity arrangement declaration,TRUE,TRUE
"Ridley, Silas",71C5675U,2019-05-23 21:20:56,TRUE,Midwife outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice-related feedback,TRUE,TRUE
"Borison, Nelson",75L2298Y,2019-06-25 07:05:09,FALSE,Nurse inside the UK,No,Currently not practising / opted not to practise,Nurse,Confirmation,FALSE,TRUE
"Olivas, David",76D3659E,2019-04-20 12:14:58,TRUE,Midwife in UK & have submitted intention to practise form,No,Does not meet the revalidation requirements,Nurse,Health and character declaration,TRUE,FALSE
"Burnett, Brooklyn",27S1241E,2019-09-20 15:06:45,FALSE,Nurse inside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Musick-Occhiuto, Katherine",75U7396Y,2019-03-18 20:41:20,TRUE,Midwife outside the UK,No,Currently not practising / opted not to practise,Nurse,Written reflective accounts,FALSE,FALSE
"Baldino, Isaiah",58K4496N,2019-09-14 18:15:42,TRUE,Nurse outside the UK,Yes,Retirement,Nurse,Written reflective accounts,TRUE,FALSE
"Owens, Johnny",70A2956L,2019-06-20 18:05:04,TRUE,Nurse outside the UK,No,Does not meet the revalidation requirements,Midwife,CPD,TRUE,FALSE
"Nawaz, Nicole",23K7173I,2019-11-03 08:33:41,TRUE,Nurse inside the UK,Partial lapse,Deceased,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Smith, Ashley",24J2610U,2019-01-10 13:58:54,TRUE,Midwife outside the UK,Partial lapse,Ill health,Nurse,Written reflective accounts,FALSE,FALSE
"Cave, Jordan",04K8980B,2019-03-30 23:06:31,FALSE,Nurse outside the UK,Yes,Deceased,Midwife,Health and character declaration,FALSE,TRUE
"Schichtel, Jessica",64U9041I,2019-07-08 16:56:20,FALSE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Practice-related feedback,FALSE,FALSE
"Whitehorse, Aurelia",03Q3795R,2019-08-16 14:20:33,TRUE,Midwife in UK & have submitted intention to practise form,No,Ill health,Midwife,Practice hours,FALSE,FALSE
"Baldwin, Shelby",87M6268A,2019-05-01 04:17:57,FALSE,Nurse inside the UK,No,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"Thompson, Karagan",71R2109X,2019-01-13 10:15:56,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Midwife,Reflective discussion,FALSE,TRUE
"Bueno, Arturo",11S8354J,2019-12-07 11:06:02,TRUE,Nurse outside the UK,Partial lapse,Does not meet the revalidation requirements,Nurse,Reflective discussion,FALSE,FALSE
"Rice, Roderick",01M9500N,2019-05-11 15:10:56,FALSE,Nurse inside the UK,Yes,Ill health,Nurse,Confirmation,TRUE,TRUE
"Wommack, Kawehi",97D5107O,2019-09-30 06:31:07,TRUE,Midwife in UK & have submitted intention to practise form,Yes,Retirement,Nurse,Confirmation,TRUE,TRUE
"Snider, Joshua",56W8162E,2019-08-04 00:37:50,FALSE,Nurse outside the UK,Partial lapse,Currently not practising / opted not to practise,Nurse,Health and character declaration,FALSE,FALSE
"Gabaldon, Devante",82Q3555C,2019-09-30 20:18:33,FALSE,Nurse inside the UK,Yes,Does not meet the revalidation requirements,Nurse,Practice hours,TRUE,TRUE
"Cruz, Jayme",58Z5580D,2019-01-09 14:26:54,FALSE,Nurse outside the UK,Yes,Retirement,Nurse,Health and character declaration,FALSE,FALSE
"Mitchell, Ariahna",78M6004O,2019-07-30 07:57:22,FALSE,Nurse outside the UK,Yes,Retirement,Midwife,Professional indemnity arrangement declaration,FALSE,TRUE
"Hernandez, Sue",36P3548T,2019-07-01 12:04:02,TRUE,Nurse outside the UK,Yes,Retirement,Midwife,Professional indemnity arrangement declaration,TRUE,TRUE
"Abachiche, Alyssa",33K1902A,2019-06-05 00:28:40,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Health and character declaration,FALSE,FALSE
"Gonzalez, Wyatt",47D9883E,2019-02-27 17:18:39,FALSE,Midwife outside the UK,Yes,Ill health,Midwife,Professional indemnity arrangement declaration,TRUE,FALSE
"Martinez, Dyani",91F1093R,2019-07-12 20:06:07,FALSE,Nurse outside the UK,Yes,Does not meet the revalidation requirements,Nurse,CPD,TRUE,TRUE
"Brown, Omar",71Y0472P,2019-07-05 13:10:11,TRUE,Midwife outside the UK,Partial lapse,Retirement,Midwife,Written reflective accounts,TRUE,TRUE
"Banos, Shelby",52F2646A,2019-04-20 20:55:30,TRUE,Nurse inside the UK,Partial lapse,Retirement,Nurse,Written reflective accounts,FALSE,TRUE
"Michel, Brandon",12I1835R,2019-07-12 19:15:19,TRUE,Midwife outside the UK,Partial lapse,Deceased,Midwife,Practice-related feedback,TRUE,TRUE
