name,pin,joined,source_of_referral,reason_for_referral,allegation_type,employer_information
"Day, Drew",99P3311H,2019-01-31 00:02:05,Employer,Reason1,allegationtype2,Information from employer
"Sanchez, Jesus",97R7353N,2019-04-26 21:00:02,Member fo the public,Reason1,allegationtype1,Information from employer
"Delao, Kristin",08J7936F,2019-01-21 16:09:51,Employer,Reason2,allegationtype2,Information from employer
"Dodson, Michael",18Z2780X,2019-03-04 06:30:45,Member fo the public,Reason1,allegationtype1,
"Levine, Chanthakath",96E2896N,2019-06-24 18:24:10,Employer,Reason2,allegationtype2,
"Nguyen, Andrea",66X8335H,2019-08-29 01:23:52,Employer,Reason1,allegationtype1,Information from employer
"Klein, Conor",17H3941N,2019-03-09 22:01:13,Employer,Reason1,allegationtype2,Information from employer
"Byrd, Rubi",89Y1001T,2019-08-06 18:18:40,Member fo the public,Reason2,allegationtype1,
"Michaelis, Rachel",68M5615J,2019-12-26 13:55:09,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Baccus, Faheem",52P2637U,2019-10-24 02:54:23,Member fo the public,Reason2,allegationtype2,Information from employer
"Riley, Tonya",89E9400M,2019-03-30 06:35:24,Employer,Reason1,allegationtype2,Information from employer
"Keller, Asysa",26T3474T,2019-11-25 12:53:54,Member fo the public,Reason2,allegationtype1,
"Loughridge, Keith",39F5343D,2019-01-04 13:33:25,Member fo the public,Reason2,allegationtype2,
"Yang, Melanie",33B8451P,2019-08-22 07:29:31,Member fo the public,Reason1,allegationtype1,
"el-Akhtar, Sukaina",28S2743T,2019-04-12 19:37:21,Member fo the public,Reason2,allegationtype1,Information from employer
"al-Halaby, Faatih",18T4124M,2019-07-24 23:27:13,Member fo the public,Reason1,allegationtype2,Information from employer
"Xiong, Kevin",03Q3795R,2019-05-11 06:59:13,Member fo the public,Reason2,allegationtype2,Information from employer
"Emley, Mariah",33H8045H,2019-09-13 11:52:07,Employer,Reason2,allegationtype1,Information from employer
"Keller, Asysa",88Q4323B,2019-02-07 20:28:32,Employer,Reason1,allegationtype2,
"Johnson-Newborn, Porsha",10S5972Y,2019-09-25 10:53:04,Employer,Reason1,allegationtype1,
"Jamison, Anaiya",16X5004Q,2019-02-05 23:37:51,Employer,Reason1,allegationtype1,
"Sims-Cummings, Jayla",29K8579D,2019-08-26 04:28:08,Employer,Reason1,allegationtype1,Information from employer
"Sveen, Brandon",80U7478N,2019-07-14 12:10:01,Employer,Reason2,allegationtype2,
"Anderson, Elexis",67V7094Q,2019-04-18 23:33:29,Member fo the public,Reason2,allegationtype1,
"al-Hamed, Aarif",77B2178U,2019-03-15 06:34:13,Member fo the public,Reason1,allegationtype2,
"el-Irani, Husniyya",74H1991M,2019-05-28 03:33:55,Employer,Reason1,allegationtype1,
"Jones, Deandre",21L9794Y,2019-03-19 21:05:29,Employer,Reason1,allegationtype1,
"Nguyen, Yoona",07L5180B,2019-10-18 22:11:17,Employer,Reason2,allegationtype1,
"Montoya, Michael",80Q1164T,2019-01-31 00:31:04,Member fo the public,Reason1,allegationtype2,Information from employer
"Hinkle, Hunter",18V9347L,2019-04-12 21:15:30,Member fo the public,Reason2,allegationtype2,
"Torrez, Shaheila",94B0007F,2019-02-19 06:03:12,Member fo the public,Reason2,allegationtype1,Information from employer
"Son, Christopher",21L9794Y,2019-10-13 13:12:39,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Qazi, Maazin",43E4766F,2019-10-29 22:04:57,Employer,Reason2,allegationtype2,Information from employer
"Fischer, Keenan",64F8934F,2019-06-03 08:49:28,Member fo the public,Reason1,allegationtype2,
"Day, Drew",44M5961R,2019-12-25 06:17:16,Member fo the public,Reason1,allegationtype1,Information from employer
"Pinelle, Talea",46P9226M,2019-03-14 19:40:59,Member fo the public,Reason2,allegationtype1,Information from employer
"Ross, Aaron",92T5869E,2019-05-13 02:43:23,Employer,Reason2,allegationtype1,Information from employer
"Sodbinow, Hugh",65U3798S,2019-07-27 17:21:35,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Morad, Ikram",56A8978E,2019-11-18 09:32:14,Employer,Reason1,allegationtype1,Information from employer
"el-Ally, Izza",32Z6736N,2019-12-17 03:43:21,Employer,Reason1,allegationtype2,
"Matagaono, Samuel",11B4889C,2019-09-09 04:40:49,Employer,Reason2,allegationtype1,Information from employer
"Jarvis, Selena",99B5213D,2019-01-06 08:29:10,Employer,Reason2,allegationtype1,
"Kang, Sharah",41T9002U,2019-07-19 11:43:43,Member fo the public,Reason2,allegationtype2,Information from employer
"Phillips, Autumn",58J4580J,2019-09-22 00:34:06,Employer,Reason2,allegationtype2,Information from employer
"Moreno, Gabriel",96A6856V,2019-11-06 11:01:53,Employer,Reason2,allegationtype1,
"Greiner, Juan",55G1643S,2019-07-19 01:32:18,Member fo the public,Reason1,allegationtype1,
"al-Hamed, Ghaidaa",86Y3035L,2019-10-28 20:53:16,Employer,Reason1,allegationtype1,Information from employer
"Moon, Pragna",67R8119S,2019-08-02 00:53:44,Employer,Reason1,allegationtype2,Information from employer
"el-Soliman, Dhaakir",03G0419V,2019-04-28 14:28:03,Employer,Reason1,allegationtype1,Information from employer
"Koontz, Navar",00I9599J,2019-02-25 10:50:35,Member fo the public,Reason2,allegationtype2,Information from employer
"el-Karam, Shabaan",36E5883A,2019-05-03 10:33:02,Employer,Reason2,allegationtype2,
"Moore, Monea",74X1614Y,2019-02-06 09:09:17,Employer,Reason2,allegationtype1,
"el-Maroun, Fikriyya",14K8322C,2019-09-19 07:36:19,Member fo the public,Reason2,allegationtype2,Information from employer
"Werkele, Christiana",32D2345H,2019-04-20 02:35:57,Member fo the public,Reason2,allegationtype2,
"Mitre, Joel",00S5112O,2019-03-02 00:13:58,Member fo the public,Reason2,allegationtype1,Information from employer
"John, Taylor",22V0275P,2019-12-24 22:19:50,Employer,Reason2,allegationtype1,Information from employer
"Weaver, Courtney",92S6198F,2019-11-23 20:21:50,Employer,Reason1,allegationtype2,
"Tafari, Kaila",26T4255L,2019-08-21 19:31:21,Employer,Reason2,allegationtype2,Information from employer
"Johnson, Ledarius",70M7719G,2019-02-07 17:31:53,Employer,Reason2,allegationtype2,Information from employer
"Otero, Natasha",57I2253C,2019-09-21 02:34:41,Employer,Reason1,allegationtype1,
"Reilly, Anders",10P4635G,2019-04-12 00:53:27,Member fo the public,Reason1,allegationtype1,
"Marroquin, Oscar",85U4335Z,2019-12-20 00:58:07,Employer,Reason2,allegationtype2,
"al-Dawood, Najiyya",03F9135Y,2019-05-07 19:40:09,Member fo the public,Reason2,allegationtype1,Information from employer
"Lujan, Kristin",60X8329V,2019-06-13 19:19:05,Employer,Reason1,allegationtype1,
"al-Molla, Rushdi",96C0195I,2019-08-11 04:31:49,Employer,Reason2,allegationtype2,Information from employer
"West, Belem",73Q7673T,2019-07-15 10:36:44,Member fo the public,Reason2,allegationtype1,Information from employer
"Bruce, Martell",03Z1048W,2019-02-03 20:55:42,Member fo the public,Reason2,allegationtype1,Information from employer
"Craig, Carsen",51U5887J,2019-02-25 08:34:51,Employer,Reason1,allegationtype2,Information from employer
"Singh, Brittany",21W1494L,2019-07-15 01:16:48,Employer,Reason1,allegationtype1,Information from employer
"Hunter, Kendra",97D2091O,2019-05-26 15:13:30,Member fo the public,Reason1,allegationtype2,
"Bradshaw, Deven",27Q3058U,2019-09-18 10:38:09,Employer,Reason1,allegationtype1,
"Gutshall, Connor",44Q4381L,2019-12-27 22:20:37,Employer,Reason1,allegationtype2,Information from employer
"Murphy, Aaron",17H3941N,2019-10-30 13:38:30,Employer,Reason1,allegationtype2,Information from employer
"Burke, Orson",82F8937U,2019-08-17 17:08:06,Employer,Reason1,allegationtype2,Information from employer
"Clark, Alexander",77X4487B,2019-05-31 19:39:10,Member fo the public,Reason2,allegationtype2,
"el-Sani, Saabir",01S6674U,2019-07-17 13:55:35,Member fo the public,Reason1,allegationtype2,Information from employer
"Verde, Tashina",51C9884K,2019-02-28 16:54:51,Member fo the public,Reason2,allegationtype2,
"Wilkerson, Samone",07X6505R,2019-09-25 12:05:52,Employer,Reason1,allegationtype1,
"al-Dar, Saalim",60P0772W,2019-04-09 23:35:48,Member fo the public,Reason1,allegationtype2,
"Lovato, Darwyn",56W6312M,2019-11-19 03:38:22,Member fo the public,Reason2,allegationtype1,Information from employer
"Wall, Halley",86D8351I,2019-09-04 14:46:39,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Bilal, Mudrik",80J4592Y,2019-03-16 10:08:49,Employer,Reason2,allegationtype1,
"Roebuck, Taniesha",20K3382E,2019-07-09 01:54:03,Employer,Reason1,allegationtype1,
"Mills, Dominic",31T3387O,2019-12-18 01:03:22,Member fo the public,Reason1,allegationtype1,Information from employer
"Johnston, Erin",32D2345H,2019-01-19 23:42:34,Employer,Reason1,allegationtype1,Information from employer
"Foust, Michael",54Z1431L,2019-04-02 02:04:59,Employer,Reason2,allegationtype2,
"al-Saladin, Amaani",20P9334Y,2019-11-30 11:34:57,Employer,Reason1,allegationtype2,
"el-Islam, Adeeb",17Q1460Y,2019-10-29 19:58:59,Employer,Reason2,allegationtype2,
"Rodriguez, Patrick",84Z0924A,2019-10-09 10:01:53,Employer,Reason2,allegationtype1,
"Brower, Benedict",91U8769L,2019-08-17 11:28:40,Member fo the public,Reason1,allegationtype1,Information from employer
"Perkins, Kai-Ndamba",03W0425K,2019-04-27 07:04:59,Member fo the public,Reason1,allegationtype2,Information from employer
"Vue, Justin",10Y1468R,2019-09-24 22:39:16,Member fo the public,Reason2,allegationtype2,
"el-Akbar, Haashim",06Z0991R,2019-05-16 03:12:07,Member fo the public,Reason1,allegationtype1,
"al-Shaikh, Himma",42G5648Q,2019-07-04 07:28:19,Member fo the public,Reason2,allegationtype2,
"Loven, Courtney",36O9914S,2019-10-10 13:40:10,Member fo the public,Reason2,allegationtype2,
"Rinhart, Chelsea",49L2991Z,2019-05-03 02:21:16,Employer,Reason2,allegationtype2,
"Danskin, Deja",19I3719V,2019-10-20 09:12:01,Employer,Reason2,allegationtype1,Information from employer
"Castro, Mayra",88G1689E,2019-02-26 11:52:42,Member fo the public,Reason1,allegationtype2,Information from employer
"Kamath, Sarah",57J4456J,2019-05-31 16:51:15,Member fo the public,Reason1,allegationtype1,Information from employer
"Williams, Hanna",33O0817M,2019-01-04 16:44:46,Employer,Reason2,allegationtype2,
"Bustos Ovalle, Edgar",71W2904L,2019-02-24 10:06:32,Member fo the public,Reason2,allegationtype1,Information from employer
"Hoang, Zaeem",55J5846Z,2019-09-07 13:53:02,Member fo the public,Reason1,allegationtype2,
"Malouff, Ricky",44I7284M,2019-04-15 16:43:54,Employer,Reason1,allegationtype1,Information from employer
"Rozinski, Haley",38B3781O,2019-11-18 09:32:14,Member fo the public,Reason1,allegationtype1,
"Bennett, Anyce",82V6119M,2019-09-06 18:04:10,Employer,Reason1,allegationtype2,Information from employer
"al-Mussa, Silmi",42H5222A,2019-08-18 12:55:15,Member fo the public,Reason1,allegationtype1,
"Lovern, Rocky",80L1670F,2019-09-25 03:24:29,Member fo the public,Reason2,allegationtype2,
"Remillard, Marnita",15P5632J,2019-01-09 13:03:52,Member fo the public,Reason2,allegationtype1,Information from employer
"Davenport, Christian",42S3079Z,2019-09-28 05:23:08,Employer,Reason1,allegationtype2,
"el-Ally, Aarifa",57R5067W,2019-04-25 13:00:49,Employer,Reason2,allegationtype1,Information from employer
"Vigil, Samantha",90C3839R,2019-05-27 21:28:55,Member fo the public,Reason1,allegationtype2,Information from employer
"Box, Julian",94W9557I,2019-12-08 17:46:01,Employer,Reason2,allegationtype2,Information from employer
"Carroll, Alexander",51A0266I,2019-06-02 16:14:09,Employer,Reason1,allegationtype1,
"Barrientos, Josue",29H5261N,2019-08-09 22:41:07,Member fo the public,Reason1,allegationtype1,Information from employer
"Jones, Aimee",29T5686A,2019-01-16 06:39:55,Employer,Reason1,allegationtype2,Information from employer
"el-Masih, Muthanna",42P8796F,2019-02-12 06:49:42,Member fo the public,Reason2,allegationtype2,Information from employer
"Mendoza, Gerardo",88E5844N,2019-03-06 21:14:28,Member fo the public,Reason2,allegationtype1,
"Jones, Brent",53F8687G,2019-10-03 17:14:49,Employer,Reason2,allegationtype2,
"al-Ahsan, Turfa",04C9782E,2019-05-01 23:33:52,Member fo the public,Reason1,allegationtype2,
"Pogue, Ebony",95Z7883V,2019-09-17 00:38:43,Employer,Reason1,allegationtype2,Information from employer
"Fowler - Schwab, Ryan",72G4584C,2019-09-29 02:38:46,Employer,Reason1,allegationtype1,
"el-Ghani, Taiseer",28T0423Y,2019-07-10 18:03:49,Employer,Reason2,allegationtype2,Information from employer
"al-Hossain, Zaahid",69A4892P,2019-09-09 03:22:36,Member fo the public,Reason2,allegationtype1,
"Sebben, Beau",45T8974G,2019-01-27 10:49:46,Member fo the public,Reason1,allegationtype2,
"el-Rashed, Rashaa",72C3636C,2019-07-09 02:15:29,Member fo the public,Reason2,allegationtype2,
"Legarde, Alana",38E1677B,2019-09-07 06:22:40,Member fo the public,Reason1,allegationtype1,Information from employer
"Yazzie, Dyllon",39J0916Z,2019-01-05 01:21:09,Member fo the public,Reason1,allegationtype2,Information from employer
"Vo, Isabella",75A4032P,2019-11-08 03:38:43,Employer,Reason1,allegationtype1,
"Piazza, Derek",87P4847X,2019-04-03 21:34:04,Member fo the public,Reason1,allegationtype1,
"Yazzie, Sabrina",12E5419M,2019-05-01 11:03:43,Employer,Reason1,allegationtype2,Information from employer
"Brown, Tel",58D4810D,2019-02-24 02:48:49,Member fo the public,Reason2,allegationtype2,
"Pena, Dominick",21O0094P,2019-02-22 23:06:04,Employer,Reason1,allegationtype2,Information from employer
"al-Bey, Munsif",77D5268J,2019-11-27 03:09:08,Member fo the public,Reason2,allegationtype2,Information from employer
"al-Amen, Shaheed",19P5777D,2019-11-18 10:03:30,Employer,Reason1,allegationtype2,
"Sosa, Joana",54Q4010S,2019-11-04 01:55:20,Member fo the public,Reason1,allegationtype2,Information from employer
"el-Abid, Hanlala",48N7525Z,2019-02-05 04:53:59,Employer,Reason2,allegationtype1,Information from employer
"Schuster, Dillon",31T7690F,2019-12-04 12:59:44,Employer,Reason2,allegationtype2,
"el-Dada, Saqr",47W9125U,2019-04-10 04:43:53,Employer,Reason1,allegationtype1,Information from employer
"Bretado, Craig",74P2097Q,2019-08-12 15:22:53,Employer,Reason1,allegationtype1,Information from employer
"Kim, Joshua",03I5581N,2019-06-14 06:53:06,Member fo the public,Reason1,allegationtype2,Information from employer
"Murphy, Mitchell",92Y0174M,2019-12-28 12:22:29,Member fo the public,Reason1,allegationtype1,Information from employer
"Shaddrick, Rachel",20C8312K,2019-05-24 15:31:17,Employer,Reason1,allegationtype2,Information from employer
"al-Tahir, Mudrika",02T0706F,2019-05-30 18:50:05,Member fo the public,Reason2,allegationtype2,Information from employer
"Manley, Johnathen",29X2127Z,2019-10-21 15:53:48,Member fo the public,Reason1,allegationtype2,Information from employer
"Nguyen, Kyla",19N9117D,2019-11-05 14:00:48,Employer,Reason1,allegationtype2,Information from employer
"Parsons, Shaniqua",00J6158D,2019-10-13 08:29:14,Employer,Reason1,allegationtype1,Information from employer
"al-Syed, Mumina",16W1566S,2019-08-24 20:23:50,Member fo the public,Reason1,allegationtype2,Information from employer
"De Dios, Thomas",22D6889I,2019-04-21 02:09:58,Member fo the public,Reason2,allegationtype2,
"Freestone, Misty",62C8481L,2019-05-01 09:21:48,Member fo the public,Reason1,allegationtype2,
"Gaucin, Iain",30W5701P,2019-05-01 04:17:57,Employer,Reason2,allegationtype1,
"Kelley, Alexander",66I3269I,2019-08-13 13:53:52,Member fo the public,Reason1,allegationtype2,Information from employer
"Balderrama-Magallanes, Indra",22I3804N,2019-09-06 23:43:09,Member fo the public,Reason1,allegationtype1,Information from employer
"Samora, Sierra",25K5865E,2019-05-26 11:25:11,Member fo the public,Reason2,allegationtype2,Information from employer
"Downs, Ty",69V1608A,2019-10-14 05:46:55,Employer,Reason1,allegationtype2,
"el-Akbar, Haashim",13T0560A,2019-09-28 05:23:08,Member fo the public,Reason1,allegationtype2,Information from employer
"Ortiz, Anabel",50S1672A,2019-05-04 21:50:11,Member fo the public,Reason1,allegationtype2,Information from employer
"Baker, Justin",81R0452W,2019-01-18 18:33:59,Employer,Reason1,allegationtype1,Information from employer
"Alak, Elizabeth",17J7721U,2019-05-16 06:34:46,Employer,Reason1,allegationtype2,
"Jones, Kira",07W8623R,2019-05-27 13:28:21,Employer,Reason1,allegationtype1,
"Kim, Christine",91B3288C,2019-03-07 05:50:12,Employer,Reason1,allegationtype1,Information from employer
"Whitehorse, William",99X4775Y,2019-10-17 06:59:21,Employer,Reason2,allegationtype1,Information from employer
"al-Omer, Siraaj",28O8700J,2019-02-05 04:30:20,Member fo the public,Reason1,allegationtype2,Information from employer
"Agnew-Lundgren, Wyatt",68J5159M,2019-04-29 15:26:19,Employer,Reason1,allegationtype2,
"Velasquez, Andrew",32F8841T,2019-12-06 03:06:30,Employer,Reason1,allegationtype2,
"Alex, Harrison",12K3141A,2019-03-10 23:17:08,Employer,Reason2,allegationtype1,Information from employer
"Scott, Bryce",23S2362W,2019-03-30 06:53:20,Employer,Reason1,allegationtype2,Information from employer
"Valenzuela, Dennis",01A3161G,2019-03-09 04:50:25,Member fo the public,Reason1,allegationtype2,Information from employer
"Munch, Cody",96Y7050B,2019-03-10 18:05:29,Employer,Reason2,allegationtype1,Information from employer
"Carter, Asia",09U3741Y,2019-12-07 12:18:42,Member fo the public,Reason2,allegationtype1,Information from employer
"Millan, Ana Cristina",36M5319D,2019-02-25 20:14:45,Employer,Reason1,allegationtype1,
"Muller, Zoe",25E6563M,2019-07-30 23:10:37,Employer,Reason2,allegationtype1,
"Dorosinskiy, Ross",05U2074D,2019-01-22 14:44:52,Employer,Reason1,allegationtype2,
"Munson, Mason",87O1932G,2019-04-17 04:42:01,Employer,Reason2,allegationtype1,
"Jacquez, Daniel",60E1432U,2019-02-21 14:08:31,Employer,Reason2,allegationtype1,Information from employer
"el-Harron, Amatullah",83R8350Z,2019-01-05 10:31:35,Employer,Reason2,allegationtype2,Information from employer
"Nguyen, Amiel Joed",38U0796Q,2019-08-06 08:08:07,Employer,Reason1,allegationtype1,
"Menzies, Kyra",64R5751F,2019-09-23 22:13:22,Employer,Reason2,allegationtype2,
"Dinsmore, Raul",47F6347W,2019-10-10 11:59:09,Employer,Reason2,allegationtype2,
"Hare, Caitlin",19S5627K,2019-07-10 16:03:47,Employer,Reason1,allegationtype2,Information from employer
"Santos, Rylan",01Q5870X,2019-03-29 16:23:36,Member fo the public,Reason1,allegationtype1,
"Gardner, Julia",88M9813Y,2019-08-29 20:26:50,Employer,Reason2,allegationtype1,
"Schell, Priscilla",31T3387O,2019-06-15 04:04:51,Employer,Reason1,allegationtype2,Information from employer
"al-Jalali, Zaidaan",06G0882S,2019-12-07 06:01:39,Member fo the public,Reason2,allegationtype2,Information from employer
"Bunting, Blaze",32V0856T,2019-08-13 08:56:18,Member fo the public,Reason2,allegationtype2,
"Jackson, D'Andre",46D7736X,2019-11-19 01:10:08,Employer,Reason1,allegationtype2,
"Corro, Cristobal",69J1977T,2019-07-18 09:46:54,Employer,Reason1,allegationtype1,
"Kwiat, Christian",92O6114V,2019-12-21 10:57:06,Employer,Reason2,allegationtype1,
"Mariman, Lael",64O0905H,2019-03-05 12:36:04,Employer,Reason1,allegationtype2,Information from employer
"Nguyen, Austin",01S8736I,2019-04-09 00:26:07,Member fo the public,Reason2,allegationtype1,Information from employer
"Werkele, Christiana",21L9794Y,2019-11-20 22:43:23,Employer,Reason1,allegationtype1,Information from employer
"Anderson, Taylor",60E6311C,2019-09-29 01:38:12,Employer,Reason2,allegationtype1,Information from employer
"Carrington, Clarens",63E9038V,2019-10-29 10:57:19,Member fo the public,Reason2,allegationtype2,Information from employer
"Riviera, Xavier",16X5004Q,2019-12-26 13:55:09,Member fo the public,Reason2,allegationtype1,Information from employer
"Lim, Karie",14L7602G,2019-05-18 19:02:55,Employer,Reason2,allegationtype1,
"Duvall-Valverde, Jose",80N1315F,2019-01-03 18:55:44,Employer,Reason1,allegationtype2,Information from employer
"al-Tawil, Abdul Hameed",00K3476J,2019-10-02 06:51:52,Employer,Reason1,allegationtype2,
"Flores Romero, Jessica",58Z2126P,2019-05-31 03:07:49,Member fo the public,Reason1,allegationtype2,Information from employer
"Hill, Kiana",41B6626D,2019-07-20 23:30:55,Member fo the public,Reason2,allegationtype2,Information from employer
"Cordova, Isaiah",70C6987R,2019-10-22 02:06:39,Employer,Reason2,allegationtype1,Information from employer
"Contreras, Benjamin",11Z7055H,2019-05-03 23:51:31,Member fo the public,Reason2,allegationtype2,
"Hardy, Jennifer",16T6937H,2019-06-01 19:43:06,Member fo the public,Reason2,allegationtype2,
"Chavez, Victoria",09F7661E,2019-04-08 18:53:55,Employer,Reason2,allegationtype1,Information from employer
"Richter, Manohar",45M1229Y,2019-11-10 20:17:54,Member fo the public,Reason1,allegationtype2,
"el-Akbari, Aayaat",60E6311C,2019-02-20 09:39:45,Employer,Reason1,allegationtype2,
"Brower, Benedict",64F8934F,2019-05-30 20:24:27,Member fo the public,Reason1,allegationtype1,
"el-Ghazi, Zubaida",94J9215M,2019-09-14 22:48:44,Member fo the public,Reason2,allegationtype2,
"Wilkerson, Samone",10L8830O,2019-01-08 04:42:14,Member fo the public,Reason2,allegationtype1,
"Diedrich, Tanay",69G5922S,2019-10-18 22:11:17,Member fo the public,Reason1,allegationtype2,
"el-Abdallah, Hilmiyya",53D1426L,2019-08-29 10:48:51,Member fo the public,Reason1,allegationtype2,
"Howe, Ella",60G9250G,2019-09-22 03:35:42,Employer,Reason2,allegationtype1,
"al-Ghanem, Nawaal",14R9768K,2019-06-11 23:53:28,Employer,Reason2,allegationtype2,Information from employer
"Sweeney, Hannah",03U1283P,2019-03-09 23:21:51,Member fo the public,Reason1,allegationtype1,Information from employer
"Powless, Alexandria",24U4461X,2019-03-01 02:47:24,Employer,Reason2,allegationtype2,
"Arviso, Kaylisha",83K2442T,2019-05-27 17:04:18,Member fo the public,Reason1,allegationtype1,Information from employer
"Reynolds, Anthony",51F5835B,2019-01-02 02:00:37,Member fo the public,Reason2,allegationtype1,Information from employer
"Muniz, Emmanuel",58I3622L,2019-05-13 13:12:07,Member fo the public,Reason2,allegationtype1,
"Ahmed, Allajawaun",88A0100C,2019-08-08 21:25:24,Employer,Reason1,allegationtype2,
"Sullivan, Jessica",30O4007M,2019-09-06 03:00:32,Member fo the public,Reason2,allegationtype1,
"el-Khalil, Hamad",35N2298S,2019-03-09 14:17:34,Member fo the public,Reason2,allegationtype2,Information from employer
"Porter, Jordan",76D3659E,2019-12-30 15:33:28,Member fo the public,Reason2,allegationtype2,Information from employer
"Isobe, Sophie",69E4642W,2019-12-12 12:06:44,Employer,Reason1,allegationtype1,
"Peil, Ashley",28S8356W,2019-05-27 11:57:57,Member fo the public,Reason2,allegationtype2,Information from employer
"Scarberry, Lance",03S6696F,2019-10-23 04:56:51,Employer,Reason1,allegationtype1,
"Moye, Devon",61D0948K,2019-10-20 10:44:41,Member fo the public,Reason1,allegationtype1,
"el-Nawaz, Shukri",28I4359V,2019-10-08 21:28:21,Employer,Reason2,allegationtype2,
"el-Ally, Farhat",90L8308W,2019-04-22 16:40:25,Employer,Reason2,allegationtype1,Information from employer
"el-Zia, Tareefa",49U7281J,2019-06-12 22:06:09,Employer,Reason2,allegationtype2,Information from employer
"Han, Jay",73S9523S,2019-03-09 08:26:22,Member fo the public,Reason1,allegationtype2,
"Songer, Brittany",82R9228R,2019-09-06 13:03:38,Employer,Reason2,allegationtype2,Information from employer
"Herold, Tiffany",03H0323E,2019-09-04 08:52:25,Member fo the public,Reason2,allegationtype1,
"Villano, Anne Marie",01Z3512S,2019-01-07 16:32:50,Member fo the public,Reason2,allegationtype1,Information from employer
"Vaughns, Elisha",02K8074Y,2019-08-11 13:23:44,Employer,Reason1,allegationtype1,
"Zoobi, Israel",86Y1296U,2019-09-13 07:35:43,Member fo the public,Reason1,allegationtype2,
"Salazar, Victoria",70O1952F,2019-12-30 04:18:39,Member fo the public,Reason2,allegationtype1,
"Suda, Wei Dan",13N9470R,2019-02-23 04:26:24,Employer,Reason1,allegationtype1,Information from employer
"Kills In Sight, Alejandro",68H0847H,2019-09-16 21:42:42,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Bagheri, Widdad",22Y6790A,2019-02-18 16:34:36,Employer,Reason1,allegationtype2,
"Estrada Sanchez, Hector",48R0413S,2019-11-20 03:07:50,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Hares, Muslih",52R7638J,2019-08-07 05:06:20,Employer,Reason2,allegationtype1,
"Reeder, Jevonda",92M5602X,2019-01-20 02:09:17,Employer,Reason1,allegationtype2,Information from employer
"Piester, Jenna",83B2898N,2019-05-02 12:16:38,Employer,Reason2,allegationtype1,Information from employer
"Siller, Mario",03B3640Q,2019-06-23 08:55:06,Employer,Reason1,allegationtype2,Information from employer
"Williams, Forest Green",31F3287O,2019-04-27 12:55:52,Employer,Reason2,allegationtype2,
"el-Halim, Ayyoob",29W2799J,2019-02-17 15:29:29,Employer,Reason2,allegationtype2,
"al-Sahli, Maa'iz",19K9947F,2019-03-10 23:17:08,Employer,Reason1,allegationtype2,
"Vannice, Katie-Lynne",90C3839R,2019-01-03 00:15:12,Employer,Reason2,allegationtype2,Information from employer
"al-Ahsan, Turfa",09N3756B,2019-01-09 11:34:29,Employer,Reason2,allegationtype1,
"Davis, De'Anthone'E",04U2334N,2019-08-15 20:58:39,Employer,Reason1,allegationtype2,
"Hunter, Kendra",99M3002H,2019-07-12 19:28:05,Member fo the public,Reason1,allegationtype2,Information from employer
"al-Shaker, Raaniya",89T8620K,2019-01-16 06:39:55,Employer,Reason2,allegationtype1,
"Johnson, Larissa",46G4263Y,2019-09-10 19:28:04,Employer,Reason1,allegationtype2,Information from employer
"Diaz, Thalia",75N5638X,2019-02-20 08:19:39,Member fo the public,Reason1,allegationtype2,
"Mertz, Parker",28K1891H,2019-07-25 18:24:01,Employer,Reason2,allegationtype1,Information from employer
"Suto, Ritika",64T6926E,2019-12-03 06:23:48,Member fo the public,Reason1,allegationtype2,
"Maddux, Wyatt",47R8111K,2019-04-13 18:38:15,Member fo the public,Reason1,allegationtype2,
"Kim, Leina",52T4658C,2019-05-13 14:57:45,Member fo the public,Reason2,allegationtype2,
"Gillies, Mitchell",12M6799Q,2019-03-01 14:43:14,Member fo the public,Reason2,allegationtype2,
"Shareef, Meciah",05W1320Z,2019-09-18 03:40:08,Member fo the public,Reason1,allegationtype2,
"Yang, Melanie",64X0308X,2019-04-10 17:47:05,Employer,Reason1,allegationtype1,
"Ramirez, Jessica",41F4225O,2019-10-17 11:18:28,Employer,Reason1,allegationtype1,Information from employer
"Watson, Shay'Aujanae",78O0557Y,2019-12-10 02:33:46,Employer,Reason1,allegationtype1,Information from employer
"Yuen, Lauren",12P6865P,2019-08-22 20:01:32,Employer,Reason2,allegationtype2,Information from employer
"al-Ishmael, Ulyaa",41G8923X,2019-11-05 14:00:48,Employer,Reason2,allegationtype1,Information from employer
"Shultheiss, Tristan",15K9528A,2019-10-20 03:01:53,Employer,Reason1,allegationtype2,Information from employer
"Marin Huerta, Anthony",09M8181D,2019-01-10 23:30:10,Employer,Reason1,allegationtype2,Information from employer
"al-Mohammed, Aatif",77W5765L,2019-12-25 15:10:12,Member fo the public,Reason1,allegationtype2,
"Boden, Autumn",16Q3766M,2019-02-13 10:13:33,Employer,Reason2,allegationtype2,
"Roth, Henry",85K6805M,2019-05-15 04:54:34,Employer,Reason2,allegationtype2,Information from employer
"al-Morad, Ikram",82F6332R,2019-02-11 11:31:13,Member fo the public,Reason2,allegationtype1,Information from employer
