name,pin,joined,scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
"Archuleta, Damian",23P4304F,2019-03-27 13:21:29,Direct clinical care or management – children’s and neo-natal nursing,School,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
"Efagene, Craig",33P5156R,2019-11-05 18:15:33,Direct clinical care or management – health visiting,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Macura, Nicole",92A6492Y,2019-10-21 06:45:55,Policy,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
"Stewart, Marquis",58B0637A,2019-11-18 07:32:56,Direct clinical care or management – school nursing,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"La Crue, Maira",21I4831B,2019-08-25 05:03:22,Education,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
"el-Can, Azza",51M7749R,2019-06-14 07:08:12,Direct clinical care or management – midwifery,Telephone or e-health advice,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
"Cheek, Patricia",03V4209F,2019-12-03 02:32:12,Direct clinical care or management – other,Maternity unit or birth centre,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
"Trujillo, Valerie",99D9024R,2019-02-06 01:57:42,Education,Public health organisation,Self employed,FALSE,testpostcode1,Test organisation 1,England
"Page, Jasmyn",01T6603N,2019-10-07 00:00:25,Quality assurance or inspection,Public health organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
"Cloud, Gabriel",05R9561D,2019-08-19 19:17:38,Direct clinical care or management – mental health nursing,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Han, Vince Eufred",07V1801I,2019-04-26 23:09:00,Direct clinical care or management – other,Inspectorate or regulator,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
"Begay, Alana",75J5788A,2019-07-06 00:18:12,Quality assurance or inspection,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode1,Test organisation 1,England
"Evans, Dante",50Z2543P,2019-06-15 14:07:04,Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
"Avery, Tre-Vonte",96J5880J,2019-04-10 04:43:53,Direct clinical care or management – midwifery,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
"Petrie, Reid",94J9215M,2019-11-30 17:39:26,Direct clinical care or management – public health,Police,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
"Stroud, Megan",01G2187T,2019-11-08 15:50:38,Direct clinical care or management – school nursing,Occupational health,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Moore, Vanya",99C8858U,2019-06-01 10:13:44,Policy,Occupational health,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
"Flores Diaz, David",13E0773W,2019-07-15 06:32:04,Direct clinical care or management – other,Prison,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
"al-Saab, Faarooq",93Q3947K,2019-10-16 20:09:35,Policy,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
"Maldonado, Kayla",45D9278C,2019-11-30 22:25:41,Direct clinical care or management – adult and general care nursing,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
"Hancock, Joel",45H3124T,2019-02-05 21:30:01,Research,Other,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Bonner, Shkhelley",30L5573Y,2019-07-09 07:45:54,Direct clinical care or management – midwifery,Occupational health,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
"Johnson, Alanna",77Z1233G,2019-08-09 02:05:22,Commissioning,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
"Kanapilly, Chaelene",31F3287O,2019-12-19 00:22:28,Direct clinical care or management – health visiting,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Ulibarri, Vicente",34B0964S,2019-12-19 00:22:28,Research,Inspectorate or regulator,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
"Rhodes, Kelly",47D0689Y,2019-02-02 23:08:00,Education,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
"el-Zia, Tareefa",95A0952F,2019-05-01 23:33:52,Direct clinical care or management – adult and general care nursing,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
"Truong, Jessica",33W4961M,2019-06-24 06:44:46,Other,GP practice or other primary care,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
"Marmo, Stephanie",52U3628G,2019-01-25 19:18:12,Education,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Scotland
"Raymond, Mareena",82Q6124C,2019-10-20 13:28:37,Direct clinical care or management – public health,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
"White, Benjamin",61R3490U,2019-05-19 20:25:29,Direct clinical care or management – children’s and neo-natal nursing,Private domestic setting,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
"Bernal, Erika",92M2555W,2019-11-01 20:02:20,Direct clinical care or management – other,Prison,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"Nghiem, Andrew",65U8795M,2019-11-20 22:43:23,Other,University or other research facility,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
"Johnke, Scott",85K6805M,2019-07-14 09:10:32,Direct clinical care or management – public health,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
"Patron-Sepulveda, Nathaniel",80N9838V,2019-07-21 08:53:58,Direct clinical care or management – occupational health,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
"Mariani, Emily",57I2253C,2019-09-09 06:46:53,Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
"Dalrymple, Sebastian",42L8985O,2019-04-01 20:46:43,Direct clinical care or management – school nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
"Chen, Derek",16W8852F,2019-11-16 04:26:59,Direct clinical care or management – adult and general care nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
"al-Ahmadi, Sabeeka",60A4955N,2019-09-11 16:32:47,Education,Telephone or e-health advice,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"al-Rauf, Badraan",77X4487B,2019-04-01 12:50:30,Direct clinical care or management – school nursing,Police,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
"Bock, Sunee",50X5440P,2019-01-24 04:32:00,Direct clinical care or management – learning disabilities nursing,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
"Hong, Randall",73C7785T,2019-12-18 20:49:36,Direct clinical care or management – mental health nursing,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Outside UK
"Miranda, Lorissa",03K5609Y,2019-02-01 15:10:48,Direct clinical care or management – school nursing,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
"Rubio, Braydon",69F0380V,2019-02-28 15:17:08,Other,Private domestic setting,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
"Kabotie, Tristin",93W8181L,2019-08-12 19:07:34,Other,Governing body or other leadership,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
"el-Hamidi, Farhaan",29X2127Z,2019-03-31 23:55:05,Direct clinical care or management – health visiting,Other,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Thach, Kayla",93M9475U,2019-05-18 04:50:24,Direct clinical care or management – learning disabilities nursing,Police,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
"Cuevas, Ammi",93G1993P,2019-06-20 06:01:41,Direct clinical care or management – school nursing,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
"Garcia Trevizo, Perla",03Z7654S,2019-04-05 00:10:47,Quality assurance or inspection,Ambulance service,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
"Botello- Espinoza, Alberto",13B4949N,2019-11-18 03:15:32,Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
"Mandell, Dominic",87Z5104C,2019-06-05 21:44:33,Direct clinical care or management – adult and general care nursing,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Roy, Quinten",99X3242R,2019-02-14 10:45:33,Direct clinical care or management – other,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Mosinski, Shelby",56Q6454U,2019-08-17 11:28:40,Direct clinical care or management – health visiting,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
"Johnson, Lawanda",59S3741P,2019-01-13 11:00:44,Education,Insurance or legal,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
"Phillips, Autumn",32J9760K,2019-03-19 13:54:00,Direct clinical care or management – occupational health,Occupational health,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
"Rodriguez, Patrick",89N1057C,2019-12-12 02:11:48,Direct clinical care or management – public health,Telephone or e-health advice,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
"Toraya-Sosa, Jessica",13D3881H,2019-04-17 00:28:58,Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
"Flores Romero, Jessica",14G5660P,2019-04-28 01:22:01,Direct clinical care or management – other,Police,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
"Simo, Breya",81O9698Z,2019-12-27 22:15:29,Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,England
"Washington, Ryan",47U7629E,2019-05-15 21:28:02,Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
"Gonzales, Joseph",86B4599O,2019-12-08 04:58:41,Direct clinical care or management – adult and general care nursing,Other,Self employed,FALSE,testpostcode2,Test organisation 1,England
"al-Meskin, Saamyya",51G5652L,2019-06-18 07:24:40,Direct clinical care or management – adult and general care nursing,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
"Gray, Chelsea",13P0012L,2019-03-17 14:24:40,Direct clinical care or management – other,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
"White, Michael",14V7969X,2019-11-20 16:53:59,Direct clinical care or management – mental health nursing,Policy organisation,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
"Brower, Benedict",63I0175T,2019-04-26 05:35:01,Direct clinical care or management – midwifery,Insurance or legal,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
"al-Zaher, Jaasir",50P4114S,2019-11-01 04:05:12,Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Jiron, Kelly",18D9872I,2019-03-15 13:58:55,Direct clinical care or management – learning disabilities nursing,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
"Zoobi, Israel",38U9155S,2019-11-06 18:00:47,Direct clinical care or management – mental health nursing,GP practice or other primary care,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
"el-Elbaz, Jaadallah",08H3871L,2019-10-29 04:27:11,Quality assurance or inspection,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
"Wooden, Janasia",36Y5037S,2019-04-04 07:11:24,Direct clinical care or management – occupational health,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"Kashino, Satya",38A8675O,2019-04-28 20:53:10,Direct clinical care or management – learning disabilities nursing,Public health organisation,Self employed,FALSE,testpostcode1,Test organisation 1,England
"Nguyen, Michael",99P0009S,2019-06-28 18:17:23,Direct clinical care or management – occupational health,Public health organisation,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
"Derock, Justin",82M6099R,2019-05-29 08:58:42,Quality assurance or inspection,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Lofton, Adulis",75A4032P,2019-10-02 04:23:07,Direct clinical care or management – midwifery,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
"Dalrymple, Sebastian",29V4849X,2019-06-13 19:19:05,Other,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Duran, Nicholas",23W7713U,2019-09-12 14:48:50,Policy,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Nash, Michael",16C5350L,2019-05-07 15:53:02,Direct clinical care or management – health visiting,GP practice or other primary care,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"Mian, Felicia",72B7831U,2019-11-10 17:49:08,Quality assurance or inspection,Other,Volunteering,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Ortiz, Gabriela",03T5959V,2019-12-02 22:20:02,Direct clinical care or management – children’s and neo-natal nursing,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
"Baker, Egan",44H8171U,2019-02-27 03:19:08,Direct clinical care or management – public health,Insurance or legal,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Lopez, Briana",95T6933Y,2019-08-19 23:08:11,Direct clinical care or management – public health,School,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Scotland
"Hartigan, Erin",21R7288Z,2019-07-24 22:26:57,Direct clinical care or management – occupational health,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Moreno, Gabriel",04X2206U,2019-01-07 09:17:46,Research,Military,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
"Bendik, Alexa",54Z2936T,2019-03-05 12:36:04,Direct clinical care or management – public health,Occupational health,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
"Banks, Jamariah",33Y2857R,2019-08-18 06:26:21,Policy,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
"Crockett, Dexter",73B7535Z,2019-03-02 22:08:19,Quality assurance or inspection,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
"Song, Emily",11M4617G,2019-07-20 19:10:22,Direct clinical care or management – public health,Consultancy,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
"Torain, Jeremy",58E4568F,2019-06-24 18:24:10,Quality assurance or inspection,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
"Turner, Mandy",54T9486I,2019-05-01 21:25:38,Direct clinical care or management – adult and general care nursing,Trade union or professional body,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
"Gonzalez, Ariel",70A5038R,2019-12-29 10:43:10,Commissioning,Telephone or e-health advice,Self employed,TRUE,testpostcode2,Test organisation 2,England
"Alger, Mason",97F2696B,2019-10-31 13:57:36,Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
"Gray, Chelsea",03N9956D,2019-06-10 05:07:49,Quality assurance or inspection,Prison,Volunteering,FALSE,testpostcode2,Test organisation 1,England
"al-Nawaz, Haifaaa",55E9669X,2019-08-01 11:46:02,Direct clinical care or management – other,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
"Olguin, Brycen",36J7104O,2019-01-15 12:20:48,Direct clinical care or management – occupational health,Public health organisation,Self employed,TRUE,testpostcode2,Test organisation 2,England
"Mcclure, Ryan",99P0009S,2019-10-11 04:53:13,Direct clinical care or management – children’s and neo-natal nursing,Private domestic setting,Self employed,FALSE,testpostcode2,Test organisation 2,England
"Gallegos, Angelica",01B4562T,2019-01-29 02:28:26,Direct clinical care or management – midwifery,Ambulance service,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
"Riddle, Brooklyn",25F5429G,2019-05-16 01:32:08,Policy,Care home sector,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Castillo, Adrian",41A7596U,2019-07-22 05:34:47,Other,Prison,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
"Marfil, Cody",71Z1893D,2019-02-06 14:33:33,Direct clinical care or management – public health,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"Djukic, Jacob",93N2349W,2019-10-27 22:45:10,Direct clinical care or management – learning disabilities nursing,Private domestic setting,Volunteering,TRUE,testpostcode2,Test organisation 1,England
"Bonthron, Brandon",89C0995L,2019-01-28 07:57:10,Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
"al-Satter, Ghaada",00W5468A,2019-07-29 23:31:40,Direct clinical care or management – occupational health,Trade union or professional body,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Randolph, Tarquin",73P4291N,2019-01-05 23:24:09,Education,University or other research facility,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
"Robinson, Jaleesa",59N4599N,2019-05-09 01:30:08,Other,Police,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
"Morales, Robyn",22V0275P,2019-02-23 09:03:56,Direct clinical care or management – public health,Public health organisation,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
"Lai, Paul",02F0247W,2019-01-10 13:58:54,Quality assurance or inspection,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Northern Ireland
"Hatch, Addam",89J8594T,2019-02-01 06:57:00,Quality assurance or inspection,Private domestic setting,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
"Perry, Trevon",48O1612G,2019-05-12 22:35:28,Direct clinical care or management – children’s and neo-natal nursing,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
"Shrum, Cassidy",45Q5221M,2019-03-30 06:53:20,Commissioning,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
"Borum, Marcus",52R7638J,2019-07-07 10:11:22,Direct clinical care or management – mental health nursing,Police,Volunteering,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Williams, Nathaniel",75R8167N,2019-02-13 19:45:54,Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
"Luna, Charisha",17C7520D,2019-01-27 08:46:25,Education,School,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
"Tuhkanen, Emily",93H4271M,2019-01-16 20:30:07,Direct clinical care or management – mental health nursing,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"Koh, Parisa",59H6838R,2019-04-20 20:55:30,Commissioning,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Mcguire, Coby",85C0351I,2019-11-17 03:26:42,Direct clinical care or management – occupational health,Maternity unit or birth centre,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
"Arviso, Shawnee",53K6216K,2019-08-14 17:17:55,Direct clinical care or management – adult and general care nursing,Police,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
"Hayes-Joshua, Isaiah",53A8344N,2019-11-19 03:38:22,Commissioning,Telephone or e-health advice,Volunteering,TRUE,testpostcode1,Test organisation 1,England
"al-Nawaz, Haifaaa",87X4956S,2019-05-10 02:37:00,Direct clinical care or management – health visiting,GP practice or other primary care,Volunteering,FALSE,testpostcode2,Test organisation 2,England
"Flynn, Troy",47F9149F,2019-02-12 07:27:28,Direct clinical care or management – other,Insurance or legal,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
"Hobbs, Marcus",63V6961Z,2019-03-11 02:54:34,Policy,Military,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
"Marquez, Cierra",64Z8001Y,2019-07-11 12:21:10,Research,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
"Leamons, Nicholas",38F5398Y,2019-04-25 08:46:41,Education,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
"Shaheen, Taylor",47J3591J,2019-03-27 02:47:49,Direct clinical care or management – health visiting,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
"Gray, David",34V2208L,2019-12-05 07:06:08,Research,Policy organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Johnson, Larissa",02T0706F,2019-07-12 02:41:53,Research,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Northern Ireland
"Nuels, Dwayne",65O3902V,2019-10-19 13:10:56,Quality assurance or inspection,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
"Wheeler, Sierra",12J2451J,2019-06-18 13:16:21,Direct clinical care or management – children’s and neo-natal nursing,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
"Polton, Megan",61J7317F,2019-06-19 20:38:21,Education,School,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
"Sedillo, Bowen",40K5576C,2019-12-08 04:53:29,Education,"Community setting, including district nursing and community psychiatric nursing",Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
"Silva, Natalia",43W1885L,2019-07-07 04:06:12,Research,Care home sector,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
"Craft, Ed'Lexus",68W6381M,2019-07-14 17:59:41,Direct clinical care or management – public health,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
"Phan, Elizabeth",79P9432J,2019-04-28 20:39:32,Direct clinical care or management – children’s and neo-natal nursing,Telephone or e-health advice,Volunteering,FALSE,testpostcode1,Test organisation 2,England
"Koch, Toua",58N7112Z,2019-08-17 11:28:40,Other,Occupational health,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Kitts, Kirstyn",93Y7713W,2019-09-29 08:53:22,Direct clinical care or management – mental health nursing,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
"Garcia, Rhiannon",76H7656V,2019-01-22 13:58:45,Other,Policy organisation,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Rains, Deja",60B4886J,2019-07-04 05:16:24,Education,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
"Lapolla, William",98L5031Z,2019-10-23 00:03:10,Direct clinical care or management – occupational health,Trade union or professional body,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
"al-Dar, Saalim",30Q7244W,2019-11-04 00:44:59,Direct clinical care or management – public health,Occupational health,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
"Hatch, Michael",38F5398Y,2019-06-11 00:50:32,Education,Ambulance service,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"el-Guler, Israa",94C5379C,2019-11-19 23:00:48,Direct clinical care or management – midwifery,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
"Ten, Kateri",02U2535S,2019-03-24 12:40:14,Other,Trade union or professional body,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
"Rios, Jesus",31S7699R,2019-12-19 16:18:24,Commissioning,Police,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
"Alemu, Auzjarae",72G2722L,2019-09-15 12:22:56,Quality assurance or inspection,Military,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
"Vigil, Jesse",64A4404D,2019-05-04 00:47:21,Commissioning,School,Self employed,FALSE,testpostcode1,Test organisation 1,England
"el-Karam, Zulfa",82P3482F,2019-07-24 21:40:04,Other,Governing body or other leadership,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
"Weaver, Courtney",33N8270L,2019-03-31 06:36:49,Research,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Northern Ireland
"Sisneros, Azaleah",26H1485I,2019-08-19 17:56:07,Direct clinical care or management – midwifery,Prison,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
"Bajwa, Andrea",48J7606L,2019-07-19 11:43:43,Research,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
"Shrestha, Rhema",93P3218S,2019-08-20 23:20:13,Direct clinical care or management – learning disabilities nursing,GP practice or other primary care,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
"Maddux, Wyatt",16Q5245J,2019-12-01 15:39:26,Direct clinical care or management – midwifery,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
"Risley, Colby",49W6473A,2019-01-10 20:02:18,Direct clinical care or management – learning disabilities nursing,Telephone or e-health advice,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
"Healy, Ta",22H0729U,2019-07-23 03:20:42,Education,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
"Valdez, Laura",81N3232U,2019-07-15 10:36:44,Direct clinical care or management – school nursing,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
"Cisneros, Angelica",20M6563B,2019-08-20 10:31:38,Policy,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
"Muller, Zoe",76P7405J,2019-07-22 06:10:09,Direct clinical care or management – other,Prison,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
"al-Beshara, Baaqir",84P5726O,2019-06-20 06:01:41,Policy,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
"al-Sami, Hakeema",68Y9418Y,2019-06-22 01:14:04,Direct clinical care or management – school nursing,Governing body or other leadership,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
"Nissan, Kelcy",64A4320V,2019-01-26 09:17:59,Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Volunteering,FALSE,testpostcode1,Test organisation 1,Northern Ireland
"Willingham, Armando",07T4513S,2019-10-29 13:06:13,Commissioning,Insurance or legal,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
"Newbury, Monaca",37I7928U,2019-11-26 20:43:39,Direct clinical care or management – adult and general care nursing,Inspectorate or regulator,Volunteering,FALSE,testpostcode2,Test organisation 2,Scotland
"Siregar, Seher",80A7219Y,2019-03-04 06:30:45,Policy,Ambulance service,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
"Mummert, Joshua",13W3087K,2019-09-15 09:59:31,Direct clinical care or management – health visiting,Public health organisation,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
"Myers, Andrew",35W9103N,2019-02-18 23:55:14,Direct clinical care or management – school nursing,Hospital or other secondary care,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
"el-Omar, Rafeeqa",30S7717K,2019-05-21 17:20:44,Policy,Private domestic setting,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
